,Avg. RMSE
0,0.13928619962337543
1,0.2347301734797003
2,0.19718783151988986
3,0.2180952366187234
4,0.10767327519705673
5,0.3490588488752168
6,0.29804119197327794
7,0.2035679500043989
8,0.12794792483821496
9,0.12153599730447694
