,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.0941241873526824,0.2468590657831808,0.6065907152591146,0.090124558632365,628.7062550383803
1,1,0.3403800952773148,0.2155092771688215,0.604467054927154,0.0939796392518286,832.5421719301925
2,2,0.3400155761675267,0.2254380534719979,0.6088027901664734,0.0927387279582789,817.8830556177843
3,3,0.3416373830090879,0.2153447028271088,0.6055563626687015,0.0943724257277176,833.6268092356203
4,4,0.0878397340025647,0.248514435435684,0.6048890497832288,0.099696580223047,629.1763512067002
5,5,0.2903509432287312,0.2504404107358176,0.6064018687863966,0.0901472443363286,698.818975493062
6,6,0.3022473256711975,0.2516181039366671,0.6126166672678559,0.0920654876283056,709.9376987350652
7,7,0.3394859625271905,0.2254465564452001,0.6121957600307111,0.0952679149887086,820.1057096952686
8,8,0.0917113934832002,0.2473265873503668,0.6068367677489622,0.0928215559032495,627.8243221648809
9,9,0.0919007160008697,0.2479246572794987,0.6116814706386599,0.092725496021962,629.9852021429133
