,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.0941241873526824,0.2468590657831808,0.6065907152591146,0.090124558632365,628.7062550383803,618.399,13,10.307255038380276,0.016667645061489874,-81.601,-0.11657285714285714
1,1,0.3403800952773148,0.2155092771688215,0.604467054927154,0.0939796392518286,832.5421719301925,813.664,19,18.87817193019248,0.023201434412967122,113.66399999999999,0.16237714285714283
2,2,0.3400155761675267,0.2254380534719979,0.6088027901664734,0.0927387279582789,817.8830556177843,803.998,17,13.885055617784246,0.017270012634091433,103.99800000000005,0.1485685714285715
3,3,0.3416373830090879,0.2153447028271088,0.6055563626687015,0.0943724257277176,833.6268092356203,817.354,19,16.27280923562023,0.01990913268378234,117.35400000000004,0.16764857142857148
4,4,0.0878397340025647,0.248514435435684,0.6048890497832288,0.099696580223047,629.1763512067002,619.031,14,10.145351206700298,0.01638908424085433,-80.96900000000005,-0.11567000000000008
5,5,0.2903509432287312,0.2504404107358176,0.6064018687863966,0.0901472443363286,698.818975493062,688.571,14,10.247975493061972,0.014882961224132256,-11.428999999999974,-0.016327142857142818
6,6,0.3022473256711975,0.2516181039366671,0.6126166672678559,0.0920654876283056,709.9376987350652,698.803,14,11.134698735065172,0.015933959549494166,-1.1970000000000027,-0.0017100000000000038
7,7,0.3394859625271905,0.2254465564452001,0.6121957600307111,0.0952679149887086,820.1057096952686,804.548,18,15.557709695268613,0.019337205108046523,104.548,0.14935428571428572
8,8,0.0917113934832002,0.2473265873503668,0.6068367677489622,0.0928215559032495,627.8243221648809,618.119,12,9.70532216488084,0.015701381392386967,-81.88099999999997,-0.1169728571428571
9,9,0.0919007160008697,0.2479246572794987,0.6116814706386599,0.092725496021962,629.9852021429133,618.655,14,11.330202142913322,0.018314249691529727,-81.34500000000003,-0.1162071428571429
