,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.31,0.23,0.6,0.1,776.2717955792635
1,2.0,0.3518438311602361,0.276415282963693,0.5990892146938326,0.1003684716543103,670.039653805912
2,3.0,0.3340353094360639,0.2181052947883846,0.6120983662643426,0.0959172012277263,825.3824968762801
3,4.0,0.3472413897306308,0.2264149962598767,0.6122848498445769,0.0951084036124745,823.7632997759273
4,5.0,0.3394914507932574,0.2254453583671475,0.6121957506335393,0.0952679855806281,820.1120306779966
5,6.0,0.3394877243480162,0.2254461727736359,0.6121957602596928,0.0952679389919833,820.1077384104631
6,7.0,0.3394872584802066,0.2254462742657011,0.6121957602140454,0.0952679326502088,820.107201921247
7,8.0,0.3394871419867029,0.2254462995240417,0.6121957603355204,0.0952679311942679,820.1070680044432
8,9.0,0.3394862102178393,0.2254465023468561,0.6121957597603509,0.0952679183856057,820.1059950963308
9,10.0,0.3394859773131498,0.22544655322479,0.612195760030139,0.0952679151938164,820.1057267221674
10,11.0,0.3394859627546637,0.2254465563956543,0.6121957600306028,0.0952679149920573,820.1057099572192
11,12.0,0.3394859625271905,0.2254465564452001,0.6121957600307111,0.0952679149887086,820.1057096952686
