,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.3,678.0,Grid1296,0.001,1000.0,113.2873182296753,0.1483375821262598,-0.27907369575960095
1,0.3,147.0,Grid1296,0.001,987.0,118.42658710479736,0.15631693042814732,-0.4017333134407755
2,0.3,561.0,Grid1296,0.001,980.0,111.06286239624023,0.14573493413627148,-0.25519604804693974
3,0.3,237.0,Grid1296,0.001,999.0,113.38371276855469,0.14639555662870407,-0.2704915462706229
4,0.3,588.0,Grid1296,0.001,974.0,113.91184425354004,0.15013758558779955,-0.3155384848469403
5,0.3,951.0,Grid1296,0.001,996.0,109.86560535430908,0.1382981576025486,-0.19769844628771438
6,0.3,490.0,Grid1296,0.001,985.0,108.8144121170044,0.13959510624408722,-0.1858509367737476
7,0.3,395.0,Grid1296,0.001,1000.0,131.96232986450195,0.17668996937572956,-0.7639434487902843
8,0.3,877.0,Grid1296,0.001,997.0,115.00409698486328,0.14993377961218357,-0.32562351656793287
9,0.3,297.0,Grid1296,0.001,994.0,115.059250831604,0.15057272650301456,-0.3348518786565322
10,0.3,721.0,Grid1296,0.001,1000.0,113.04216194152832,0.14626203291118145,-0.2873559208643429
11,0.3,711.0,Grid1296,0.001,993.0,109.96397304534912,0.142435472458601,-0.20061299981768013
12,0.3,985.0,Grid1296,0.001,994.0,107.92478942871094,0.1373919202014804,-0.18358675482435516
13,0.3,171.0,Grid1296,0.001,996.0,116.84976387023926,0.15429622307419777,-0.372543035822406
14,0.3,75.0,Grid1296,0.001,993.0,111.34102821350098,0.14434784278273582,-0.23624027153201294
15,0.3,16.0,Grid1296,0.001,1000.0,106.5170726776123,0.13553442806005478,-0.12749306358778784
16,0.3,669.0,Grid1296,0.001,993.0,114.86797332763672,0.15036151558160782,-0.3248772762566284
17,0.3,530.0,Grid1296,0.001,987.0,109.77231121063232,0.14343859534710646,-0.21378337497851002
18,0.3,999.0,Grid1296,0.001,1000.0,135.12616157531738,0.18147839233279228,-0.8098080455574065
19,0.3,794.0,Grid1296,0.001,992.0,110.56610774993896,0.14288886077702045,-0.22577802721353424
20,0.3,936.0,Grid1296,0.001,984.0,115.41517066955566,0.15190364234149456,-0.3324256584318491
21,0.3,111.0,Grid1296,0.001,995.0,118.6140604019165,0.15720539912581444,-0.4031954663529984
22,0.3,816.0,Grid1296,0.001,991.0,111.21256732940674,0.1440514475107193,-0.21799273845658274
23,0.3,968.0,Grid1296,0.001,987.0,116.77682304382324,0.15308597311377525,-0.3939199864254871
24,0.3,48.0,Grid1296,0.001,1000.0,110.36377716064453,0.14292907528579235,-0.2060642316831539
25,0.3,986.0,Grid1296,0.001,993.0,110.38293838500977,0.14304301515221596,-0.2129595285628616
26,0.3,829.0,Grid1296,0.001,994.0,114.64054679870605,0.1506429687142372,-0.31025188554165495
27,0.3,996.0,Grid1296,0.001,995.0,110.72954273223877,0.14303491078317165,-0.22985866775383057
28,0.3,272.0,Grid1296,0.001,997.0,111.88643169403076,0.1454387605190277,-0.2566308277711776
29,0.3,759.0,Grid1296,0.001,963.0,113.48848247528076,0.1480299662798643,-0.29653522760188883
30,0.3,390.0,Grid1296,0.001,997.0,112.06270790100098,0.14665734395384789,-0.2601497890355782
31,0.3,930.0,Grid1296,0.001,1000.0,136.3860626220703,0.1826084777712822,-0.8453980054308713
32,0.3,633.0,Grid1296,0.001,995.0,116.5150089263916,0.15355946496129036,-0.3381476126645905
33,0.3,928.0,Grid1296,0.001,988.0,111.93884086608887,0.14702090062201023,-0.25687305054229637
34,0.3,854.0,Grid1296,0.001,976.0,110.67364692687988,0.14568326622247696,-0.22193764719138817
35,0.3,554.0,Grid1296,0.001,989.0,110.07891750335693,0.1433761976659298,-0.2334540752403203
36,0.3,562.0,Grid1296,0.001,985.0,110.83429431915283,0.1439683437347412,-0.22549525407398902
37,0.3,78.0,Grid1296,0.001,992.0,111.96919536590576,0.14717426430433989,-0.24955332871022748
38,0.3,222.0,Grid1296,0.001,990.0,115.75780296325684,0.1520884409546852,-0.3296974418886482
39,0.3,294.0,Grid1296,0.001,996.0,113.90974521636963,0.14946584776043892,-0.2996151040154092
40,0.3,725.0,Grid1296,0.001,996.0,113.83557987213135,0.14848270639777184,-0.31223644280143703
41,0.3,582.0,Grid1296,0.001,991.0,119.3829517364502,0.1588953323662281,-0.42479835871201505
42,0.3,731.0,Grid1296,0.001,975.0,117.83329582214355,0.15491469949483871,-0.3962262172240559
43,0.3,249.0,Grid1296,0.001,996.0,115.45378875732422,0.15165224112570286,-0.3227421900267715
44,0.3,791.0,Grid1296,0.001,991.0,109.14105606079102,0.14034531079232693,-0.1862904859531979
45,0.3,35.0,Grid1296,0.001,998.0,108.4718427658081,0.14092344045639038,-0.1776128735095204
46,0.3,180.0,Grid1296,0.001,997.0,109.95604610443115,0.1440445277839899,-0.20566660700474326
47,0.3,510.0,Grid1296,0.001,994.0,111.33444023132324,0.14497043192386627,-0.2445221334085855
48,0.3,593.0,Grid1296,0.001,992.0,114.76428031921387,0.15140178054571152,-0.2989596371106566
49,0.3,634.0,Grid1296,0.001,996.0,109.8385763168335,0.14352132380008698,-0.1993870619330657
