,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.2,0.182,0.657,0.08,690.7475045214794
1,2.0,0.2185162095655433,0.2336047410979949,0.6594121560679523,0.1099087308764118,684.5361486186821
2,3.0,0.2278630476373121,0.2289954786900066,0.6605011860647364,0.1214995012037258,702.4084357904026
3,4.0,0.1032134897184109,0.222789095446343,0.6545542140250861,0.1251875957273097,688.7509214491572
4,5.0,0.1026726464617491,0.221111762276159,0.654652486693531,0.1260237068181258,690.668166190168
5,6.0,0.1026726356514605,0.2211117377422628,0.6546524877870042,0.1260237197876414,690.6681930289196
6,7.0,0.1026726140013322,0.2211116887584092,0.6546524899719297,0.1260237458604971,690.668246651533
7,8.0,0.1026712297741483,0.2211085521109569,0.6546526272791339,0.1260254127197664,690.6716793466817
8,9.0,0.1026712297320568,0.2211085520150433,0.6546526272829569,0.1260254127704299,690.6716794515669
9,10.0,0.1026712297267823,0.2211085520030564,0.6546526272834112,0.1260254127767582,690.6716794646746
10,11.0,0.1026712293892217,0.221108551235911,0.6546526273129825,0.1260254131817618,690.6716803035836
11,12.0,0.1026712293885637,0.2211085512344114,0.6546526273130387,0.1260254131825517,690.6716803052236
12,13.0,0.1026712293884814,0.221108551234224,0.6546526273130457,0.1260254131826504,690.6716803054289
13,14.0,0.1026712293884403,0.2211085512341302,0.6546526273130493,0.1260254131826998,690.6716803055303
14,15.0,0.1026712293884197,0.2211085512340834,0.6546526273130511,0.1260254131827245,690.6716803055838
15,16.0,0.1026712293884171,0.2211085512340775,0.6546526273130513,0.1260254131827275,690.6716803055901
16,17.0,0.1026712293884159,0.2211085512340746,0.6546526273130514,0.1260254131827291,690.6716803055932
17,18.0,0.1026712293884152,0.2211085512340731,0.6546526273130514,0.1260254131827299,690.6716803055936
18,19.0,0.1026712293884149,0.2211085512340724,0.6546526273130514,0.1260254131827303,690.6716803055959
