,target,minMAPE-0,AbsDiffs-0,RelDiffs-0,minMAPE-1,AbsDiffs-1,RelDiffs-1,minMAPE-2,AbsDiffs-2,RelDiffs-2,minMAPE-3,AbsDiffs-3,RelDiffs-3,minMAPE-4,AbsDiffs-4,RelDiffs-4,minMAPE-5,AbsDiffs-5,RelDiffs-5,minMAPE-6,AbsDiffs-6,RelDiffs-6,minMAPE-7,AbsDiffs-7,RelDiffs-7,minMAPE-8,AbsDiffs-8,RelDiffs-8,minMAPE-9,AbsDiffs-9,RelDiffs-9
44,3.375,3.2348,-0.1402000000000001,-0.041540740740740774,1.95471,-1.42029,-0.4208266666666667,2.1145199999999997,-1.2604800000000003,-0.3734755555555556,1.49426,-1.88074,-0.5572562962962964,1.59157,-1.78343,-0.5284237037037037,1.63094,-1.74406,-0.5167585185185185,1.88163,-1.49337,-0.44248000000000004,3.1261,-0.2488999999999999,-0.07374814814814812,1.8486699999999998,-1.5263300000000002,-0.452245925925926,3.1342,-0.24080000000000013,-0.07134814814814819
45,3.443,3.4092000000000002,-0.03379999999999983,-0.009817020040662164,1.8937,-1.5493000000000001,-0.44998547778100495,2.08217,-1.36083,-0.39524542550101655,1.17054,-2.27246,-0.6600232355503921,1.2800799999999999,-2.16292,-0.6282079581760094,1.32822,-2.11478,-0.6142259657275632,1.5684799999999999,-1.8745200000000002,-0.5444437990124892,3.1712,-0.27180000000000026,-0.07894278245715954,1.5288199999999998,-1.9141800000000002,-0.5559628231193727,3.1837999999999997,-0.2592000000000003,-0.07528318327040381
46,2.531,2.01997,-0.5110300000000003,-0.2019083366258397,1.4403899999999998,-1.0906100000000003,-0.43090082971157656,1.5156999999999998,-1.0153000000000003,-0.40114579217700524,1.2087599999999998,-1.3222400000000003,-0.5224180165942316,1.2530000000000001,-1.278,-0.5049387593836429,1.27089,-1.26011,-0.4978704069537732,1.38492,-1.1460800000000002,-0.4528170683524299,1.97154,-0.5594600000000001,-0.22104306598182538,1.3678299999999997,-1.1631700000000005,-0.4595693401817465,1.9735800000000001,-0.55742,-0.22023706045041486
47,3.021,3.1595,0.13850000000000007,0.04584574644157566,1.8694799999999998,-1.15152,-0.38117179741807355,2.02988,-0.99112,-0.3280767957629924,1.31701,-1.70399,-0.56404832836809,1.41429,-1.6067099999999999,-0.5318470705064547,1.4538700000000002,-1.5671299999999997,-0.5187454485269777,1.67322,-1.34778,-0.44613704071499505,2.9904,-0.03059999999999974,-0.010129096325719874,1.6398099999999998,-1.3811900000000001,-0.4571962926183384,2.9996,-0.021399999999999864,-0.0070837471036080315
48,2.664,2.7134,0.04939999999999989,0.0185435435435435,1.72199,-0.9420100000000002,-0.35360735735735743,1.8535599999999999,-0.8104400000000003,-0.3042192192192193,1.26471,-1.3992900000000001,-0.525259009009009,1.34203,-1.32197,-0.496234984984985,1.3769,-1.2871000000000001,-0.48314564564564566,1.5478399999999999,-1.1161600000000003,-0.41897897897897907,2.5751,-0.0889000000000002,-0.03337087087087094,1.5221299999999998,-1.1418700000000004,-0.42862987987988,2.58189,-0.08211000000000013,-0.030822072072072118
49,2.487,2.7481,0.2610999999999999,0.10498592681946115,1.757,-0.7300000000000002,-0.29352633695215125,1.8895,-0.5975000000000001,-0.2402492963409731,1.29726,-1.18974,-0.4783835946924005,1.37622,-1.11078,-0.4466344993968637,1.40911,-1.07789,-0.43340973059911536,1.57768,-0.9093200000000001,-0.3656292722155207,2.60264,0.11563999999999997,0.04649778850020103,1.5506199999999999,-0.9363800000000002,-0.37650985122637726,2.61048,0.12347999999999981,0.04965018094089257
50,1.644,1.54521,-0.09878999999999993,-0.060091240875912375,0.43421999999999994,-1.2097799999999999,-0.735875912408759,0.56968,-1.07432,-0.6534793187347931,-0.12220000000000009,-1.7662,-1.074330900243309,-0.0464,-1.6904,-1.0282238442822385,-0.012899999999999912,-1.6568999999999998,-1.0078467153284671,0.17300000000000004,-1.4709999999999999,-0.8947688564476886,1.3753,-0.26869999999999994,-0.1634428223844282,0.14259999999999984,-1.5014,-0.9132603406326035,1.38254,-0.2614599999999998,-0.1590389294403892
51,3.614,2.9397,-0.6742999999999997,-0.18657996679579406,1.8841,-1.7298999999999998,-0.4786662977310459,2.01787,-1.59613,-0.44165190924183734,1.49975,-2.11425,-0.5850166021029332,1.57813,-2.03587,-0.5633287216380742,1.60976,-2.00424,-0.5545766463752075,1.81975,-1.79425,-0.4964720531267294,2.8705,-0.7435,-0.2057277255118982,1.7917699999999999,-1.82223,-0.5042141671278362,2.8753,-0.7386999999999997,-0.20439955727725503
52,3.736,3.0712,-0.6648000000000001,-0.17794432548179873,1.94984,-1.7861600000000002,-0.4780942184154176,2.09032,-1.64568,-0.440492505353319,1.59059,-2.14541,-0.5742532119914346,1.67353,-2.0624700000000002,-0.5520529978586725,1.70696,-2.02904,-0.5431049250535332,1.94671,-1.7892900000000003,-0.47893201284796577,3.0499,-0.6861000000000002,-0.18364561027837262,1.91661,-1.8193900000000003,-0.48698875802997865,3.0544000000000002,-0.6816,-0.18244111349036402
53,3.296,2.7195,-0.5764999999999998,-0.17490898058252421,1.63126,-1.6647399999999999,-0.5050788834951456,1.77171,-1.52429,-0.46246662621359225,1.09039,-2.20561,-0.669177791262136,1.17196,-2.12404,-0.6444296116504854,1.2052100000000001,-2.0907899999999997,-0.6343416262135921,1.3866399999999999,-1.90936,-0.5792961165048544,2.5513399999999997,-0.7446600000000001,-0.22592839805825246,1.3572699999999998,-1.93873,-0.5882069174757282,2.55685,-0.73915,-0.22425667475728156
54,3.101,2.6703,-0.43069999999999986,-0.1388906804256691,1.69895,-1.40205,-0.45212834569493715,1.81355,-1.28745,-0.4151725249919381,1.39135,-1.70965,-0.5513221541438246,1.46207,-1.63893,-0.528516607545953,1.49213,-1.60887,-0.5188229603353757,1.6999,-1.4011,-0.45182199290551434,2.6501,-0.45089999999999986,-0.14540470815865844,1.6738999999999997,-1.4271000000000003,-0.4602063850370849,2.65516,-0.44584,-0.14377297645920672
