,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.05,678.0,Sobol2,0.001,958.0,114.10893630981445,0.14548572525382042,-0.750025736552083
1,0.05,147.0,Sobol2,0.001,976.0,120.00144577026367,0.1557539813220501,-0.7700508205232408
2,0.05,561.0,Sobol2,0.001,967.0,112.64709663391113,0.1450419258326292,-0.6114146730011472
3,0.05,237.0,Sobol2,0.001,955.0,116.71987724304199,0.1521691493690014,-0.6058556646645596
4,0.05,588.0,Sobol2,0.001,962.0,114.96342849731445,0.14789285883307457,-0.683209951601271
5,0.05,951.0,Sobol2,0.001,930.0,119.64944267272949,0.1548078991472721,-0.9068257224911824
6,0.05,490.0,Sobol2,0.001,948.0,108.82006454467773,0.14095399156212807,-0.5733442129794724
7,0.05,395.0,Sobol2,0.001,986.0,128.6392707824707,0.166605856269598,-1.129968184623083
8,0.05,877.0,Sobol2,0.001,937.0,114.19487762451172,0.14690475910902023,-0.6028736029821452
9,0.05,297.0,Sobol2,0.001,990.0,121.45197677612305,0.1566321812570095,-0.9053234929380065
10,0.05,721.0,Sobol2,0.001,946.0,120.39883041381836,0.15605147927999496,-0.8092639612964857
11,0.05,711.0,Sobol2,0.001,997.0,117.1830825805664,0.15138622000813484,-0.7331832973226922
12,0.05,985.0,Sobol2,0.001,979.0,116.84971237182617,0.15098481625318527,-0.6959807563446676
13,0.05,171.0,Sobol2,0.001,938.0,116.82919311523438,0.150345578789711,-0.8255402219475024
14,0.05,75.0,Sobol2,0.001,939.0,112.3333511352539,0.1440622229129076,-0.6198035562217123
15,0.05,16.0,Sobol2,0.001,858.0,115.41353797912598,0.1481242384761572,-0.6713732937905537
16,0.05,669.0,Sobol2,0.001,981.0,119.80475425720215,0.15416940301656723,-0.7694717770902784
17,0.05,530.0,Sobol2,0.001,998.0,113.19964790344238,0.14691264927387238,-0.6635574304225256
18,0.05,999.0,Sobol2,0.001,984.0,119.79681396484375,0.15460079163312912,-0.7650402439735584
19,0.05,794.0,Sobol2,0.001,971.0,120.31788063049316,0.15563657879829407,-0.8575425737745286
20,0.05,936.0,Sobol2,0.001,997.0,116.09200286865234,0.14990202337503433,-0.7002801406874462
21,0.05,111.0,Sobol2,0.001,992.0,114.37515068054199,0.14755748212337494,-0.7391197767039641
22,0.05,816.0,Sobol2,0.001,998.0,115.36435127258301,0.14886856079101562,-0.6154572469596105
23,0.05,968.0,Sobol2,0.001,989.0,111.82517433166504,0.1433681659400463,-0.5207410899737506
24,0.05,48.0,Sobol2,0.001,966.0,113.56198501586914,0.145573353394866,-0.7067514924348932
25,0.05,986.0,Sobol2,0.001,996.0,124.15155792236328,0.15980524942278862,-0.8932179765002553
26,0.05,829.0,Sobol2,0.001,907.0,114.99825859069824,0.14852803200483322,-0.5864542193801796
27,0.05,996.0,Sobol2,0.001,976.0,118.63161087036133,0.1527043581008911,-0.8212414106373053
28,0.05,272.0,Sobol2,0.001,963.0,115.09730529785156,0.1486998088657856,-0.6592345850006318
29,0.05,759.0,Sobol2,0.001,970.0,113.62475776672363,0.14686809666454792,-0.5959167760193824
30,0.05,390.0,Sobol2,0.001,934.0,110.01860427856445,0.14184856414794922,-0.5868136817935095
31,0.05,930.0,Sobol2,0.001,928.0,112.91900634765625,0.14545999094843864,-0.8198084937533057
32,0.05,633.0,Sobol2,0.001,976.0,113.03723335266113,0.1458476074039936,-0.6688777881275447
33,0.05,928.0,Sobol2,0.001,972.0,115.32829666137695,0.14923690631985664,-0.7126648049349651
34,0.05,854.0,Sobol2,0.001,972.0,126.33102607727051,0.16216744482517242,-0.8962307944738688
35,0.05,554.0,Sobol2,0.001,981.0,117.43479919433594,0.15190953016281128,-0.7759788867129778
36,0.05,562.0,Sobol2,0.001,954.0,110.01560974121094,0.1420727651566267,-0.6221525358758027
37,0.05,78.0,Sobol2,0.001,968.0,117.07656860351562,0.1510272342711687,-0.8345601708858736
38,0.05,222.0,Sobol2,0.001,947.0,116.37688064575195,0.15020428225398064,-0.7507017419563387
39,0.05,294.0,Sobol2,0.001,985.0,111.5534496307373,0.14424987509846687,-0.5811297045149106
40,0.05,725.0,Sobol2,0.001,926.0,113.05147552490234,0.14561932533979416,-0.758710146761577
41,0.05,582.0,Sobol2,0.001,902.0,117.37810707092285,0.1513550914824009,-0.7869104273926187
42,0.05,731.0,Sobol2,0.001,983.0,118.56598281860352,0.151936873793602,-0.9855654167746846
43,0.05,249.0,Sobol2,0.001,976.0,115.71404838562012,0.14872658625245094,-0.7702751880189319
44,0.05,791.0,Sobol2,0.001,1000.0,117.03950309753418,0.15076017007231712,-0.7863895906497099
45,0.05,35.0,Sobol2,0.001,989.0,136.8917179107666,0.17663369700312614,-1.3564188811883842
46,0.05,180.0,Sobol2,0.001,983.0,115.74636459350586,0.1503845453262329,-0.6771575889343642
47,0.05,510.0,Sobol2,0.001,996.0,125.43309211730957,0.16050811111927032,-1.039830984961175
48,0.05,593.0,Sobol2,0.001,941.0,114.17220878601074,0.14613286964595318,-0.7403325639360046
49,0.05,634.0,Sobol2,0.001,948.0,113.20337677001953,0.14514464512467384,-0.6372761661021019
