,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.45,678.0,Grid2401,0.001,712.0,122.27904637654622,0.16386909037828445,-0.4443726738918416
1,0.45,147.0,Grid2401,0.001,990.0,126.45630900065105,0.16691135118405023,-0.5459807849454229
2,0.45,561.0,Grid2401,0.001,973.0,123.23534901936848,0.16462863981723785,-0.4683693199919607
3,0.45,237.0,Grid2401,0.001,980.0,128.6217358907064,0.1734708920121193,-0.6100340543032986
4,0.45,588.0,Grid2401,0.001,856.0,122.33403650919597,0.16394788026809692,-0.46110072588229967
5,0.45,951.0,Grid2401,0.001,863.0,127.85618209838867,0.1721529190738996,-0.5801115881652357
6,0.45,490.0,Grid2401,0.001,998.0,127.07539876302083,0.17129808415969214,-0.5588573830411172
7,0.45,395.0,Grid2401,0.001,788.0,123.00115203857422,0.16498703261216482,-0.47505032554925003
8,0.45,877.0,Grid2401,0.001,798.0,123.03440729777019,0.16493360449870428,-0.4720830477342342
9,0.45,297.0,Grid2401,0.001,873.0,125.41311264038086,0.16887212793032327,-0.5179401799071907
10,0.45,721.0,Grid2401,0.001,872.0,127.79936218261719,0.17216219753026962,-0.585766026498138
11,0.45,711.0,Grid2401,0.001,851.0,125.22294108072917,0.16853063801924387,-0.533441720339192
12,0.45,985.0,Grid2401,0.001,999.0,126.76068115234375,0.1708137517174085,-0.5649134931342988
13,0.45,171.0,Grid2401,0.001,992.0,126.17158381144206,0.16641387343406677,-0.5327264836605031
14,0.45,75.0,Grid2401,0.001,1000.0,122.77783203125,0.1609884276986122,-0.46668740752302124
15,0.45,16.0,Grid2401,0.001,993.0,124.14814376831055,0.16386312743028006,-0.491404727610712
16,0.45,669.0,Grid2401,0.001,844.0,125.26553344726562,0.16835016757249832,-0.5202081073405845
17,0.45,530.0,Grid2401,0.001,737.0,123.13607660929362,0.16488606482744217,-0.466593093506372
18,0.45,999.0,Grid2401,0.001,888.0,123.77456029256184,0.16569376240173975,-0.4936545981821426
19,0.45,794.0,Grid2401,0.001,916.0,127.84137725830078,0.1723584160208702,-0.5837996057795979
20,0.45,936.0,Grid2401,0.001,806.0,125.10350290934245,0.16756438712279,-0.529020949994031
21,0.45,111.0,Grid2401,0.001,821.0,125.24511464436848,0.16787112752596536,-0.509999232830856
22,0.45,816.0,Grid2401,0.001,831.0,127.28076426188152,0.17132277538379034,-0.5809255901223951
23,0.45,968.0,Grid2401,0.001,867.0,126.89960352579753,0.1710193728407224,-0.5534603882314144
24,0.45,48.0,Grid2401,0.001,995.0,124.45726648966472,0.16679634402195612,-0.4977592576586039
25,0.45,986.0,Grid2401,0.001,860.0,126.34600321451823,0.1701494331161181,-0.552516299710238
26,0.45,829.0,Grid2401,0.001,814.0,124.9260762532552,0.16810765862464905,-0.5217137704162016
27,0.45,996.0,Grid2401,0.001,812.0,121.78068161010742,0.16272476812203726,-0.43419912275525413
28,0.45,272.0,Grid2401,0.001,800.0,128.32172266642252,0.17279896636803946,-0.6095806361470982
29,0.45,759.0,Grid2401,0.001,790.0,127.2173220316569,0.17116774121920267,-0.560524078711012
30,0.45,390.0,Grid2401,0.001,822.0,127.16121164957683,0.17099320391813913,-0.5704903622592143
31,0.45,930.0,Grid2401,0.001,918.0,125.45310338338216,0.16892069081465402,-0.5137077124984849
32,0.45,633.0,Grid2401,0.001,767.0,121.66395950317383,0.16276899725198746,-0.4422673829785322
33,0.45,928.0,Grid2401,0.001,884.0,125.34466044108073,0.16817048688729605,-0.5245316935906144
34,0.45,854.0,Grid2401,0.001,798.0,123.78992970784505,0.16613847762346268,-0.48731754069569044
35,0.45,554.0,Grid2401,0.001,984.0,128.09932581583658,0.17148842165867487,-0.5926096926749719
36,0.45,562.0,Grid2401,0.001,895.0,128.1223373413086,0.17249069611231485,-0.5783494149327324
37,0.45,78.0,Grid2401,0.001,1000.0,126.7233403523763,0.1710908760627111,-0.5475809928948979
38,0.45,222.0,Grid2401,0.001,836.0,127.31115468343098,0.17172137647867203,-0.5580221068633354
39,0.45,294.0,Grid2401,0.001,996.0,128.75732803344727,0.1714246248205503,-0.6046476535005146
40,0.45,725.0,Grid2401,0.001,784.0,128.96472549438477,0.17372886588176092,-0.6160056166716786
41,0.45,582.0,Grid2401,0.001,749.0,123.35993067423503,0.16513227423032126,-0.48529773580412217
42,0.45,731.0,Grid2401,0.001,887.0,124.48677571614583,0.16746618847052255,-0.5104923489404629
43,0.45,249.0,Grid2401,0.001,865.0,125.18345006306966,0.16800046960512796,-0.5132015290919355
44,0.45,791.0,Grid2401,0.001,999.0,127.97781244913737,0.16972633451223373,-0.5917940129867866
45,0.45,35.0,Grid2401,0.001,985.0,131.11201858520508,0.17509801934162775,-0.6739314515290578
46,0.45,180.0,Grid2401,0.001,823.0,123.72546641031902,0.16607220222552618,-0.48642996872178657
47,0.45,510.0,Grid2401,0.001,940.0,127.28554026285808,0.17195488015810648,-0.5767277100147421
48,0.45,593.0,Grid2401,0.001,1000.0,127.95108795166016,0.17036162068446478,-0.5834744768396575
49,0.45,634.0,Grid2401,0.001,985.0,129.9031778971354,0.17515106250842413,-0.634804157578403
