,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.35,678.0,Grid1296,0.001,998.0,143.1041022406684,0.19024864004717934,-1.1922394388651416
1,0.35,147.0,Grid1296,0.001,997.0,155.72435336642795,0.20919337537553576,-1.4153984559522332
2,0.35,561.0,Grid1296,0.001,992.0,137.14092763264975,0.1810497608449724,-1.0782993470310567
3,0.35,237.0,Grid1296,0.001,996.0,140.83585696750217,0.19048973421255747,-1.0051760065869157
4,0.35,588.0,Grid1296,0.001,993.0,133.21467675103082,0.17674253053135341,-0.8831963435566548
5,0.35,951.0,Grid1296,0.001,1000.0,127.14158630371094,0.16907714307308197,-0.6209953469242318
6,0.35,490.0,Grid1296,0.001,1000.0,132.64812639024524,0.1773512860139211,-0.9143949796211667
7,0.35,395.0,Grid1296,0.001,998.0,125.52371639675565,0.1670847245388561,-0.6533645515775964
8,0.35,877.0,Grid1296,0.001,1000.0,435.8108859592014,0.6209107173813714,-17.37507868997924
9,0.35,297.0,Grid1296,0.001,999.0,136.0460205078125,0.18048663437366486,-0.9767188386464498
10,0.35,721.0,Grid1296,0.001,994.0,129.7542987399631,0.1720827023188273,-0.7728996333007527
11,0.35,711.0,Grid1296,0.001,957.0,126.66198052300348,0.16914820753865772,-0.6914667724619471
12,0.35,985.0,Grid1296,0.001,1000.0,166.7748819986979,0.22769610749350655,-1.7860103736093695
13,0.35,171.0,Grid1296,0.001,988.0,123.66884867350261,0.1651895907190111,-0.6654532992030444
14,0.35,75.0,Grid1296,0.001,999.0,123.90249125162761,0.16501658327049679,-0.581175345142205
15,0.35,16.0,Grid1296,0.001,992.0,122.46014912923177,0.16371027545796502,-0.5404163927952527
16,0.35,669.0,Grid1296,0.001,998.0,124.49656422932942,0.1662343591451645,-0.5204246749776814
17,0.35,530.0,Grid1296,0.001,998.0,169.370602077908,0.22549586329195234,-1.8009903798751432
18,0.35,999.0,Grid1296,0.001,981.0,120.5470954047309,0.16072546111212838,-0.5439672316666149
19,0.35,794.0,Grid1296,0.001,965.0,128.16976165771484,0.1708508109052976,-0.63928440757793
20,0.35,936.0,Grid1296,0.001,1000.0,165.88409084743924,0.22485533522235024,-1.7205032821732302
21,0.35,111.0,Grid1296,0.001,1000.0,186.32220798068576,0.25579409135712516,-2.4713339974779576
22,0.35,816.0,Grid1296,0.001,1000.0,186.65243021647134,0.25442517631583744,-2.472647777655036
23,0.35,968.0,Grid1296,0.001,997.0,122.90990702311198,0.16327016469505098,-0.5573484359399
24,0.35,48.0,Grid1296,0.001,989.0,119.22237565782335,0.15866289867295158,-0.4647638838276398
25,0.35,986.0,Grid1296,0.001,1000.0,202.71805826822916,0.2749982575575511,-3.0481057343374958
26,0.35,829.0,Grid1296,0.001,999.0,132.3058353000217,0.17527289026313358,-0.8139845545958269
27,0.35,996.0,Grid1296,0.001,999.0,143.14749484592014,0.1892288045750724,-1.1359177189760832
28,0.35,272.0,Grid1296,0.001,996.0,126.64389122856988,0.16920997781885994,-0.7030723799060066
29,0.35,759.0,Grid1296,0.001,998.0,131.86121877034506,0.17690707577599418,-0.7841753544652198
30,0.35,390.0,Grid1296,0.001,1000.0,141.6502210828993,0.19004873269134098,-1.0101854889237485
31,0.35,930.0,Grid1296,0.001,997.0,135.02782016330295,0.17879907621277702,-0.8866418356326631
32,0.35,633.0,Grid1296,0.001,994.0,143.94309658474393,0.1946959909465578,-1.2469756808871106
33,0.35,928.0,Grid1296,0.001,1000.0,160.4207000732422,0.21058816214402518,-1.5002768166635827
34,0.35,854.0,Grid1296,0.001,999.0,147.6875983344184,0.19481300479835933,-1.2741230659692104
35,0.35,554.0,Grid1296,0.001,997.0,131.84327273898654,0.17567811409632364,-0.7576015295972298
36,0.35,562.0,Grid1296,0.001,998.0,122.72765435112848,0.16345863044261932,-0.49632085211183874
37,0.35,78.0,Grid1296,0.001,978.0,127.91029188368056,0.17020642674631542,-0.6767756327651306
38,0.35,222.0,Grid1296,0.001,999.0,133.9860585530599,0.17909875015417734,-0.7797822648152728
39,0.35,294.0,Grid1296,0.001,1000.0,146.31632486979166,0.19469091296195984,-1.341856988792387
40,0.35,725.0,Grid1296,0.001,1000.0,179.4712371826172,0.2434642000330819,-2.5452114619316784
41,0.35,582.0,Grid1296,0.001,986.0,127.3926010131836,0.17004371020529005,-0.6365387518229588
42,0.35,731.0,Grid1296,0.001,998.0,132.008177863227,0.17643293903933632,-0.8134073375749394
43,0.35,249.0,Grid1296,0.001,1000.0,170.25913831922742,0.23269636432329813,-1.8823814131592134
44,0.35,791.0,Grid1296,0.001,989.0,129.8458997938368,0.1730861183669832,-0.6827233011833358
45,0.35,35.0,Grid1296,0.001,999.0,273.32537841796875,0.3743881285190582,-6.473922754805439
46,0.35,180.0,Grid1296,0.001,987.0,121.19784545898438,0.16105062431759304,-0.6082823893498329
47,0.35,510.0,Grid1296,0.001,1000.0,226.65269300672742,0.3097548617257012,-4.235335817502065
48,0.35,593.0,Grid1296,0.001,992.0,132.45997026231555,0.1755835082795885,-0.9702838317591568
49,0.35,634.0,Grid1296,0.001,996.0,140.78358120388455,0.18695583939552307,-0.9870012059507975
