,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.65,678.0,Grid1296,0.001,1000.0,333.1115074157715,0.4638350084424019,-10.303388454686203
1,0.65,147.0,Grid1296,0.001,1000.0,186.88675594329834,0.2532975561916828,-2.5711648204226294
2,0.65,561.0,Grid1296,0.001,1000.0,161.98571014404297,0.21697199065238237,-1.6850230500192447
3,0.65,237.0,Grid1296,0.001,1000.0,141.1809253692627,0.18894663080573082,-1.0284378946434183
4,0.65,588.0,Grid1296,0.001,999.0,123.20585250854492,0.1647614799439907,-0.559547627167457
5,0.65,951.0,Grid1296,0.001,1000.0,128.7282314300537,0.1722480971366167,-0.6756340033341877
6,0.65,490.0,Grid1296,0.001,999.0,118.36534690856934,0.1580738788470626,-0.43184136704625703
7,0.65,395.0,Grid1296,0.001,1000.0,118.45473146438599,0.15743651054799557,-0.4214463964896533
8,0.65,877.0,Grid1296,0.001,1000.0,133.3310742378235,0.17796477302908897,-0.8077308916688335
9,0.65,297.0,Grid1296,0.001,1000.0,145.35920238494873,0.19445799570530653,-1.172647257783113
10,0.65,721.0,Grid1296,0.001,1000.0,116.99478530883789,0.15559717919677496,-0.39737087012742345
11,0.65,711.0,Grid1296,0.001,1000.0,116.83290529251099,0.15480885189026594,-0.39550341781925197
12,0.65,985.0,Grid1296,0.001,1000.0,123.29183292388916,0.16444818023592234,-0.5592860945472994
13,0.65,171.0,Grid1296,0.001,1000.0,141.3953914642334,0.18819482997059822,-1.0245896867931015
14,0.65,75.0,Grid1296,0.001,1000.0,216.6244297027588,0.2955512497574091,-3.7924780939926044
15,0.65,16.0,Grid1296,0.001,1000.0,125.95208024978638,0.1683358233422041,-0.6250171394444055
16,0.65,669.0,Grid1296,0.001,1000.0,152.5751247406006,0.20402765180915594,-1.378418733351993
17,0.65,530.0,Grid1296,0.001,999.0,125.86800765991211,0.16872108913958073,-0.6093717567256938
18,0.65,999.0,Grid1296,0.001,1000.0,244.1407823562622,0.3347971122711897,-5.107132469652955
19,0.65,794.0,Grid1296,0.001,1000.0,163.25967121124268,0.2216492397710681,-1.720758946443589
20,0.65,936.0,Grid1296,0.001,1000.0,151.09197235107422,0.19954740349203348,-1.3488782368306942
21,0.65,111.0,Grid1296,0.001,1000.0,192.76269817352295,0.26015366800129414,-2.777419991922323
22,0.65,816.0,Grid1296,0.001,1000.0,138.56032276153564,0.18473624531179667,-0.9602594427563292
23,0.65,968.0,Grid1296,0.001,1000.0,256.72791385650635,0.35177323408424854,-5.806986775185092
24,0.65,48.0,Grid1296,0.001,1000.0,128.13071155548096,0.17153954971581697,-0.6623528239777824
25,0.65,986.0,Grid1296,0.001,1000.0,129.35087633132935,0.17333691753447056,-0.6998571179050478
26,0.65,829.0,Grid1296,0.001,1000.0,160.77527618408203,0.21615171432495117,-1.6952593139525072
27,0.65,996.0,Grid1296,0.001,1000.0,126.34593200683594,0.16912223957479,-0.619371795161604
28,0.65,272.0,Grid1296,0.001,1000.0,120.81939601898193,0.16111415531486273,-0.48983746697492603
29,0.65,759.0,Grid1296,0.001,999.0,123.42314910888672,0.16496907081454992,-0.5507916098975805
30,0.65,390.0,Grid1296,0.001,1000.0,142.59035396575928,0.1892288839444518,-1.0796453293399186
31,0.65,930.0,Grid1296,0.001,1000.0,135.03633785247803,0.18066420126706362,-0.8540571551497449
32,0.65,633.0,Grid1296,0.001,1000.0,131.4506392478943,0.17562654800713062,-0.7633767102105348
33,0.65,928.0,Grid1296,0.001,1000.0,127.43038558959961,0.17077898234128952,-0.6551962341460194
34,0.65,854.0,Grid1296,0.001,997.0,124.91769027709961,0.1671642567962408,-0.6058808339743581
35,0.65,554.0,Grid1296,0.001,1000.0,122.78939580917358,0.16396886203438044,-0.547634378941713
36,0.65,562.0,Grid1296,0.001,999.0,124.0325255393982,0.1655129324644804,-0.5696632514334741
37,0.65,78.0,Grid1296,0.001,1000.0,145.3191270828247,0.19280515797436237,-1.1466492780532096
38,0.65,222.0,Grid1296,0.001,1000.0,277.8928413391113,0.3834681436419487,-6.90181403091124
39,0.65,294.0,Grid1296,0.001,1000.0,119.72805404663086,0.15984105970710516,-0.4592750915645515
40,0.65,725.0,Grid1296,0.001,1000.0,153.17453479766846,0.20373053662478924,-1.410389125816431
41,0.65,582.0,Grid1296,0.001,999.0,122.48658990859985,0.16366363875567913,-0.5277727141263454
42,0.65,731.0,Grid1296,0.001,999.0,124.06115055084229,0.16599658783525229,-0.5682366362743805
43,0.65,249.0,Grid1296,0.001,1000.0,126.07311534881592,0.16864610835909843,-0.6147781122023201
44,0.65,791.0,Grid1296,0.001,1000.0,141.2132511138916,0.1886600274592638,-1.039549619573625
45,0.65,35.0,Grid1296,0.001,1000.0,133.13842964172363,0.1781304981559515,-0.8078727089638021
46,0.65,180.0,Grid1296,0.001,1000.0,148.27001857757568,0.19675214868038893,-1.2673520736171116
47,0.65,510.0,Grid1296,0.001,1000.0,134.83970642089844,0.1802211022004485,-0.8569622873069646
48,0.65,593.0,Grid1296,0.001,1000.0,128.02619457244873,0.17085775174200535,-0.673463852452764
49,0.65,634.0,Grid1296,0.001,1000.0,177.81676292419434,0.23834611475467682,-2.2494886073740594
