,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.2,0.182,0.657,0.08,690.4182889642088
1,2.0,0.2179455679295798,0.2350332495580999,0.6584318713715819,0.1077422201232773,680.8417578229294
2,3.0,0.2394080538265208,0.2444369530558476,0.6607258550695396,0.1282905095519271,674.1612330152899
3,4.0,0.259045239781163,0.2684074794531599,0.6599197692862682,0.1322537806413897,607.5759782291236
4,5.0,0.2605324203586597,0.2529044759276997,0.6600919102447427,0.1310063159685821,664.943669162212
5,6.0,0.272665086490653,0.2622869765390423,0.6592602681828726,0.1338726884650779,643.5439955647687
6,7.0,0.2732435169228669,0.2466738499800498,0.6592640287751143,0.1336821414999565,697.2060602190227
7,8.0,0.2732429228358245,0.2466720404551055,0.659263971953891,0.1336822276986672,697.2109011473676
8,9.0,0.2732428856205383,0.2466719273865055,0.6592639683902329,0.1336822330530335,697.2112035292665
9,10.0,0.2732425878755076,0.2466710228339539,0.6592639398765093,0.1336822756470168,697.2136225553356
