,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.34269842595486,0.2430304940365742,0.2756064694279422,0.1248997445128691,701.098566635817
1,1,0.3481701624262111,0.2425182289727918,0.2765486797067914,0.1237771865250068,712.0631139416507
2,2,0.3476820375938551,0.2428455524261271,0.2767522654473405,0.1230157255058174,707.3026404123655
3,3,0.3474276563022199,0.2429227511581415,0.2767336820166261,0.1230386317663031,706.4010548679264
4,4,0.3475230466660418,0.2428945673906783,0.2772758660505002,0.1233207498114525,705.8993618050578
5,5,0.3433050090049414,0.2432601961833357,0.2759413230240067,0.124658766848405,701.6169160003957
6,6,0.3477924659487237,0.2427509456514955,0.2767050377833024,0.1232314526093169,710.8891431296303
7,7,0.3434522324850253,0.2430773616326605,0.2758968794628745,0.1244391863836121,702.2305796412901
8,8,0.3385082807843028,0.2363936635047917,0.2714113349938941,0.130601502856783,708.0255990681891
9,9,0.3478939910274364,0.2426311078341026,0.2767086620728757,0.123659360869751,709.3772737942702
