,#,SigC,SigH,EpsC,EpsH,prediction,simulation,simErr,absPredSimDiff,relPredSimDiff,absTargSimDiff,relTargSimDiff
0,0,0.34269842595486,0.2430304940365742,0.2756064694279422,0.1248997445128691,701.098566635817,715.159,13,-14.06043336418304,-0.019660569697344286,15.158999999999992,0.021655714285714275
1,1,0.3481701624262111,0.2425182289727918,0.2765486797067914,0.1237771865250068,712.0631139416507,714.159,16,-2.095886058349265,-0.0029347611083095854,14.158999999999992,0.020227142857142846
2,2,0.3476820375938551,0.2428455524261271,0.2767522654473405,0.1230157255058174,707.3026404123655,717.496,13,-10.193359587634518,-0.01420685214640154,17.49599999999998,0.024994285714285688
3,3,0.3474276563022199,0.2429227511581415,0.2767336820166261,0.1230386317663031,706.4010548679264,715.034,16,-8.632945132073587,-0.012073475012479948,15.033999999999992,0.021477142857142844
4,4,0.3475230466660418,0.2428945673906783,0.2772758660505002,0.1233207498114525,705.8993618050578,717.275,13,-11.375638194942212,-0.0158595213759607,17.274999999999977,0.024678571428571397
5,5,0.3433050090049414,0.2432601961833357,0.2759413230240067,0.124658766848405,701.6169160003957,711.268,15,-9.651083999604339,-0.013568843248401923,11.268000000000029,0.0160971428571429
6,6,0.3477924659487237,0.2427509456514955,0.2767050377833024,0.1232314526093169,710.8891431296303,717.267,13,-6.377856870369783,-0.008891886661967973,17.267000000000053,0.024667142857142933
7,7,0.3434522324850253,0.2430773616326605,0.2758968794628745,0.1244391863836121,702.2305796412901,714.144,14,-11.913420358709914,-0.016682098230482806,14.144000000000005,0.020205714285714292
8,8,0.3385082807843028,0.2363936635047917,0.2714113349938941,0.130601502856783,708.0255990681891,725.283,18,-17.257400931810935,-0.023794023755983437,25.283000000000015,0.03611857142857145
9,9,0.3478939910274364,0.2426311078341026,0.2767086620728757,0.123659360869751,709.3772737942702,717.648,13,-8.27072620572983,-0.011524767303371332,17.648000000000025,0.025211428571428607
