,Avg. RMSE
0,0.1132188463748498
1,0.4553451173530747
2,0.4108743111883471
3,0.6003686306914552
4,0.5741701978749894
5,0.5631006271302892
6,0.4967594789325556
7,0.13484180480815514
8,0.5062376360384928
9,0.13303052070075141
