,target,minMAPE-0,AbsDiffs-0,RelDiffs-0,minMAPE-1,AbsDiffs-1,RelDiffs-1,minMAPE-2,AbsDiffs-2,RelDiffs-2,minMAPE-3,AbsDiffs-3,RelDiffs-3,minMAPE-4,AbsDiffs-4,RelDiffs-4,minMAPE-5,AbsDiffs-5,RelDiffs-5,minMAPE-6,AbsDiffs-6,RelDiffs-6,minMAPE-7,AbsDiffs-7,RelDiffs-7,minMAPE-8,AbsDiffs-8,RelDiffs-8,minMAPE-9,AbsDiffs-9,RelDiffs-9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.491,0.50893,0.01793,0.0,0.17874999999999996,-0.31225,0.0,0.21402,-0.27698,0.0,0.09379999999999988,-0.3972000000000001,0.0,0.11580000000000013,-0.37519999999999987,0.0,0.12470000000000003,-0.36629999999999996,0.0,0.1926000000000001,-0.2983999999999999,0.0,0.5112000000000001,0.020200000000000107,0.0,0.18399999999999972,-0.3070000000000003,0.0,0.5132000000000001,0.02220000000000011,0.0
2,0.746,0.71355,-0.03244999999999998,0.0,0.20148999999999995,-0.54451,0.0,0.26722999999999997,-0.47877000000000003,0.0,-0.08630000000000004,-0.8323,0.0,-0.050799999999999956,-0.7968,0.0,-0.034499999999999975,-0.7805,0.0,0.04190000000000005,-0.7041,0.0,0.6101000000000001,-0.1358999999999999,0.0,0.026899999999999924,-0.7191000000000001,0.0,0.6149,-0.1311,0.0
3,0.542,0.43977999999999995,-0.10222000000000009,0.0,0.14994999999999992,-0.3920500000000001,0.0,0.1819599999999999,-0.36004000000000014,0.0,0.07089999999999996,-0.4711000000000001,0.0,0.08899999999999997,-0.45300000000000007,0.0,0.09870000000000001,-0.4433,0.0,0.15850000000000009,-0.38349999999999995,0.0,0.4333,-0.10870000000000002,0.0,0.1508999999999996,-0.39110000000000045,0.0,0.43500000000000005,-0.10699999999999998,0.0
4,1.195,1.1296599999999999,-0.06534000000000018,-0.054677824267782574,0.40496,-0.7900400000000001,-0.6611213389121339,0.4811899999999999,-0.7138100000000002,-0.5973305439330545,0.27180000000000004,-0.9232,-0.7725523012552301,0.3217000000000001,-0.8733,-0.7307949790794979,0.34140000000000015,-0.8535999999999999,-0.7143096234309623,0.5101,-0.6849000000000001,-0.5731380753138076,1.17417,-0.020830000000000126,-0.017430962343096337,0.49209999999999976,-0.7029000000000003,-0.588200836820084,1.17839,-0.016610000000000014,-0.01389958158995817
5,1.17,1.13152,-0.03847999999999985,-0.03288888888888876,0.34002,-0.8299799999999999,-0.7093846153846154,0.4378599999999999,-0.73214,-0.6257606837606838,-0.06469999999999998,-1.2347,-1.0552991452991454,-0.009700000000000042,-1.1797,-1.0082905982905983,0.01660000000000017,-1.1533999999999998,-0.9858119658119656,0.13919999999999977,-1.0308000000000002,-0.8810256410256412,0.99544,-0.17455999999999994,-0.14919658119658116,0.11939999999999973,-1.0506000000000002,-0.8979487179487182,1.0006300000000001,-0.1693699999999998,-0.1447606837606836
6,1.057,0.96238,-0.09461999999999993,-0.08951750236518442,0.3287399999999999,-0.72826,-0.6889877010406812,0.3975399999999999,-0.65946,-0.6238978240302745,0.16179999999999994,-0.8952,-0.8469252601702933,0.20439999999999992,-0.8526,-0.8066225165562915,0.22140000000000004,-0.8355999999999999,-0.7905392620624409,0.35509999999999997,-0.7019,-0.6640491958372753,0.96258,-0.09441999999999995,-0.08932828760643326,0.3377999999999999,-0.7192000000000001,-0.6804162724692527,0.96691,-0.09008999999999989,-0.0852317880794701
7,1.183,1.276362,0.09336199999999995,0.07891969568892641,0.29545,-0.8875500000000001,-0.7502535925612849,0.4196899999999999,-0.7633100000000002,-0.6452324598478446,-0.34419999999999984,-1.5272,-1.2909551986475063,-0.27790000000000004,-1.4609,-1.2349112426035502,-0.24619999999999975,-1.4291999999999998,-1.2081149619611156,-0.12910000000000021,-1.3121000000000003,-1.1091293322062554,1.0175999999999998,-0.1654000000000002,-0.1398140321217246,-0.15590000000000037,-1.3389000000000004,-1.1317836010143705,1.02656,-0.15644000000000013,-0.13224006762468313
8,1.084,0.87712,-0.20688000000000006,-0.1908487084870849,0.2993199999999999,-0.7846800000000002,-0.7238745387453875,0.3626499999999999,-0.7213500000000002,-0.6654520295202953,0.13779999999999992,-0.9462000000000002,-0.8728782287822879,0.1764000000000001,-0.9076,-0.8372693726937268,0.19200000000000017,-0.8919999999999999,-0.8228782287822877,0.3114999999999999,-0.7725000000000002,-0.7126383763837639,0.8631,-0.2209000000000001,-0.2037822878228783,0.2970999999999997,-0.7869000000000004,-0.7259225092250925,0.86542,-0.2185800000000001,-0.2016420664206643
9,1.261,1.48393,0.22293000000000007,0.1767882632831087,0.49083999999999994,-0.77016,-0.6107533703409992,0.62059,-0.6404099999999999,-0.5078588421887391,-0.049800000000000066,-1.3108,-1.03949246629659,0.018299999999999983,-1.2427,-0.9854877081681206,0.04970000000000008,-1.2112999999999998,-0.9605868358445677,0.15739999999999998,-1.1036,-0.8751784298176051,1.20496,-0.05603999999999987,-0.04444091990483733,0.13279999999999959,-1.1282000000000003,-0.894686756542427,1.2126700000000001,-0.04832999999999976,-0.03832672482157
10,1.089,0.88186,-0.20714,-0.19021120293847565,0.29967,-0.78933,-0.7248209366391185,0.3637999999999999,-0.7252000000000001,-0.6659320477502296,0.1380999999999999,-0.9509000000000001,-0.873186409550046,0.1786000000000001,-0.9103999999999999,-0.8359963269054177,0.1937000000000002,-0.8952999999999998,-0.8221303948576674,0.31509999999999994,-0.7739,-0.7106519742883379,0.86993,-0.21907,-0.20116620752984388,0.29879999999999973,-0.7902000000000002,-0.7256198347107441,0.87143,-0.21756999999999993,-0.19978879706152428
11,0.679,0.76757,0.08856999999999993,0.0,0.2195999999999999,-0.45940000000000014,0.0,0.28957999999999995,-0.3894200000000001,0.0,-0.09440000000000004,-0.7734000000000001,0.0,-0.055299999999999905,-0.7343,0.0,-0.03739999999999988,-0.7163999999999999,0.0,0.0400999999999998,-0.6389000000000002,0.0,0.655,-0.02400000000000002,0.0,0.025099999999999678,-0.6539000000000004,0.0,0.6599999999999999,-0.019000000000000128,0.0
12,1.27,1.14386,-0.12613999999999992,-0.09932283464566923,0.34856,-0.92144,-0.7255433070866142,0.44399,-0.82601,-0.6504015748031496,-0.024900000000000144,-1.2949000000000002,-1.0196062992125985,0.02859999999999996,-1.2414,-0.9774803149606299,0.05570000000000008,-1.2143,-0.9561417322834646,0.1867000000000001,-1.0833,-0.8529921259842519,1.02427,-0.24573,-0.19348818897637796,0.1654,-1.1046,-0.869763779527559,1.02964,-0.2403599999999999,-0.18925984251968497
13,0.929,0.9684200000000001,0.03942000000000001,0.0,0.23632999999999993,-0.6926700000000001,0.0,0.3298,-0.5992000000000001,0.0,-0.2408999999999999,-1.1699,0.0,-0.19009999999999994,-1.1191,0.0,-0.16620000000000013,-1.0952000000000002,0.0,-0.07600000000000007,-1.0050000000000001,0.0,0.77696,-0.15204000000000006,0.0,-0.0961000000000003,-1.0251000000000003,0.0,0.78352,-0.14548000000000005,0.0
14,1.257,1.15272,-0.10427999999999993,-0.08295942720763719,0.3399399999999999,-0.91706,-0.7295624502784408,0.43782999999999994,-0.81917,-0.6516865552903739,-0.04510000000000014,-1.3021,-1.03587907716786,0.011200000000000099,-1.2457999999999998,-0.9910898965791567,0.03550000000000009,-1.2214999999999998,-0.9717581543357199,0.16989999999999972,-1.0871000000000002,-0.8648369132856009,1.0369899999999999,-0.22001000000000004,-0.1750278440731902,0.14959999999999996,-1.1074,-0.8809864757358791,1.0411899999999998,-0.21581000000000006,-0.17168655529037397
15,1.128,1.11266,-0.01533999999999991,-0.013599290780141765,0.32560999999999996,-0.8023899999999999,-0.7113386524822695,0.42521999999999993,-0.70278,-0.6230319148936171,-0.10430000000000006,-1.2323,-1.0924645390070922,-0.04909999999999992,-1.1770999999999998,-1.0435283687943262,-0.025399999999999867,-1.1533999999999998,-1.022517730496454,0.09149999999999991,-1.0365,-0.9188829787234043,0.95905,-0.16894999999999993,-0.14977836879432618,0.0703999999999998,-1.0576,-0.9375886524822696,0.96519,-0.1628099999999999,-0.14433510638297864
16,1.047,0.94426,-0.10273999999999994,-0.09812798471824255,0.32680999999999993,-0.72019,-0.6878605539637058,0.39547999999999994,-0.65152,-0.6222731614135626,0.16490000000000005,-0.8820999999999999,-0.8425023877745941,0.20589999999999997,-0.8411,-0.8033428844317096,0.2228000000000001,-0.8241999999999998,-0.7872015281757401,0.3497999999999999,-0.6972,-0.6659025787965617,0.93516,-0.11183999999999994,-0.10681948424068763,0.3344999999999998,-0.7125000000000001,-0.6805157593123211,0.93888,-0.10811999999999988,-0.10326647564469904
17,1.37,1.321148,-0.04885200000000012,-0.03565839416058402,0.346,-1.024,-0.7474452554744525,0.4664999999999999,-0.9035000000000002,-0.6594890510948906,-0.25580000000000025,-1.6258000000000004,-1.1867153284671534,-0.18720000000000003,-1.5572000000000001,-1.1366423357664233,-0.15559999999999996,-1.5256,-1.1135766423357665,-0.02870000000000017,-1.3987000000000003,-1.020948905109489,1.08416,-0.2858400000000001,-0.2086423357664234,-0.05480000000000018,-1.4248000000000003,-1.04,1.0938400000000001,-0.27615999999999996,-0.2015766423357664
18,1.368,1.32558,-0.042420000000000124,-0.03100877192982465,0.40430999999999995,-0.9636900000000002,-0.704451754385965,0.5127999999999999,-0.8552000000000002,-0.6251461988304094,0.03289999999999993,-1.3351000000000002,-0.9759502923976608,0.09699999999999998,-1.2710000000000001,-0.929093567251462,0.12350000000000017,-1.2445,-0.9097222222222221,0.2952999999999999,-1.0727000000000002,-0.7841374269005849,1.2472400000000001,-0.12075999999999998,-0.08827485380116956,0.2708999999999997,-1.0971000000000004,-0.8019736842105265,1.25354,-0.11446,-0.08366959064327485
19,1.181,1.0601099999999999,-0.12089000000000016,-0.10236240474174442,0.3684799999999999,-0.8125200000000001,-0.6879932260795937,0.4418099999999999,-0.7391900000000001,-0.6259017781541067,0.22839999999999994,-0.9526000000000001,-0.8066045723962744,0.27570000000000006,-0.9053,-0.766553767993226,0.29510000000000014,-0.8858999999999999,-0.7501270110076206,0.4518,-0.7292000000000001,-0.6174428450465708,1.09321,-0.08779000000000003,-0.07433530906011857,0.4353999999999998,-0.7456000000000003,-0.6313293818797631,1.09715,-0.08384999999999998,-0.07099915325994918
20,0.888,1.01311,0.12510999999999994,0.0,0.2521899999999999,-0.6358100000000001,0.0,0.34739999999999993,-0.5406000000000001,0.0,-0.24409999999999998,-1.1320999999999999,0.0,-0.19219999999999993,-1.0802,0.0,-0.1662999999999999,-1.0543,0.0,-0.07299999999999995,-0.961,0.0,0.81598,-0.07201999999999997,0.0,-0.0932000000000004,-0.9812000000000004,0.0,0.8246,-0.06340000000000001,0.0
21,2.381,2.08727,-0.2937299999999996,-0.1233641327173455,1.48454,-0.8964599999999998,-0.3765056698866022,1.56278,-0.8182199999999997,-0.3436455270894581,1.22785,-1.1531499999999997,-0.4843133137337252,1.2736399999999999,-1.10736,-0.4650818983620328,1.29251,-1.0884899999999997,-0.4571566568668626,1.4066299999999998,-0.97437,-0.4092272154556909,2.02903,-0.35196999999999967,-0.14782444351112967,1.38916,-0.9918399999999998,-0.41656446871062575,2.03162,-0.3493799999999996,-0.14673666526669452
22,1.011,0.86976,-0.14123999999999992,-0.13970326409495543,0.3057399999999999,-0.70526,-0.6975865479723047,0.37098,-0.6400199999999999,-0.6330563798219584,0.12450000000000006,-0.8864999999999998,-0.8768545994065281,0.16310000000000002,-0.8478999999999999,-0.8386745796241345,0.17930000000000001,-0.8316999999999999,-0.8226508407517309,0.2883,-0.7226999999999999,-0.7148367952522255,0.83505,-0.17594999999999994,-0.1740356083086053,0.27459999999999973,-0.7364000000000002,-0.728387734915925,0.83757,-0.17342999999999986,-0.17154302670623134
23,1.421,1.338397,-0.08260299999999998,-0.058130190007037286,0.41989999999999994,-1.0011,-0.7045038705137228,0.5272399999999999,-0.8937600000000001,-0.6289655172413794,0.07610000000000006,-1.3449,-0.9464461646727657,0.1402000000000001,-1.2808,-0.9013370865587613,0.1675000000000002,-1.2534999999999998,-0.8821252638986627,0.3437999999999999,-1.0772000000000002,-0.7580577058409571,1.27829,-0.14271000000000011,-0.10042927515833927,0.3192999999999997,-1.1017000000000003,-0.7752990851513021,1.28272,-0.13827999999999996,-0.09731175228712172
24,1.611,1.51655,-0.09444999999999992,-0.05862818125387953,0.4192199999999999,-1.19178,-0.7397765363128492,0.5489099999999999,-1.06209,-0.6592737430167598,-0.11759999999999993,-1.7286,-1.072998137802607,-0.04149999999999987,-1.6524999999999999,-1.025760397268777,-0.009299999999999864,-1.6202999999999999,-1.0057728119180633,0.17030000000000012,-1.4406999999999999,-0.8942892613283674,1.35521,-0.25578999999999996,-0.15877715704531345,0.1398999999999999,-1.4711,-0.9131595282433271,1.36378,-0.24722,-0.1534574798261949
25,1.699,1.425888,-0.273112,-0.1607486756915833,0.49461,-1.20439,-0.7088816951147734,0.5976999999999999,-1.1013000000000002,-0.6482048263684521,0.25780000000000003,-1.4412,-0.8482636845203061,0.32140000000000013,-1.3776,-0.8108298999411417,0.34630000000000005,-1.3527,-0.7961742201294879,0.5458999999999998,-1.1531000000000002,-0.6786933490288406,1.42321,-0.27579,-0.16232489699823424,0.5223999999999998,-1.1766000000000003,-0.6925250147145381,1.42853,-0.27047,-0.15919364331959976
26,2.412,2.09099,-0.3210099999999998,-0.13308872305140954,1.4855399999999999,-0.9264600000000001,-0.38410447761194033,1.56339,-0.8486099999999999,-0.3518283582089552,1.2343,-1.1777,-0.48826699834162524,1.27941,-1.13259,-0.4695646766169154,1.2996600000000003,-1.1123399999999997,-0.46116915422885557,1.41492,-0.99708,-0.4133830845771144,2.03649,-0.3755099999999998,-0.15568407960198996,1.3987599999999998,-1.0132400000000001,-0.4200829187396352,2.03878,-0.3732199999999999,-0.15473466003316746
27,2.669,2.7477,0.07869999999999999,0.029486699138254024,1.76632,-0.9026800000000001,-0.33820906706631704,1.8946399999999999,-0.7743600000000002,-0.29013113525665046,1.36314,-1.30586,-0.4892693892843762,1.4390800000000001,-1.22992,-0.4608167853128512,1.47093,-1.19807,-0.448883476957662,1.64949,-1.0195100000000001,-0.38198201573623086,2.6348000000000003,-0.034199999999999786,-0.012813787935556308,1.6239999999999997,-1.0450000000000004,-0.3915324091420009,2.64311,-0.02588999999999997,-0.009700262270513288
28,1.531,1.23475,-0.2962499999999999,-0.19350097975179617,0.43162999999999996,-1.09937,-0.7180731548007838,0.52667,-1.00433,-0.6559960809928151,0.15880000000000005,-1.3721999999999999,-0.8962769431743958,0.21350000000000002,-1.3175,-0.8605486610058785,0.23680000000000012,-1.2941999999999998,-0.8453298497713911,0.3877999999999999,-1.1432,-0.7467015022860876,1.16007,-0.37093,-0.2422795558458524,0.3679999999999999,-1.163,-0.7596342259960811,1.1662599999999999,-0.36474000000000006,-0.23823644676681913
29,2.608,2.08043,-0.5275700000000003,-0.20228911042944797,1.47488,-1.1331200000000001,-0.434478527607362,1.55363,-1.05437,-0.4042829754601227,1.25043,-1.3575700000000002,-0.5205406441717791,1.29641,-1.31159,-0.5029102760736196,1.3152400000000002,-1.29276,-0.4956901840490797,1.43913,-1.16887,-0.44818634969325155,2.04838,-0.5596200000000002,-0.21457822085889577,1.4228899999999998,-1.1851100000000003,-0.45441334355828233,2.05015,-0.5578500000000002,-0.21389953987730068
30,3.153,2.5366,-0.6164000000000001,-0.19549635267998733,1.63059,-1.52241,-0.48284490960989535,1.7422399999999998,-1.4107600000000002,-0.44743418966064075,1.3225,-1.8305,-0.580558198541072,1.3887800000000001,-1.76422,-0.5595369489375198,1.4154200000000001,-1.73758,-0.5510878528385664,1.5995499999999998,-1.5534500000000002,-0.4926895020615288,2.4944100000000002,-0.6585899999999998,-0.20887725975261648,1.57564,-1.57736,-0.5002727561052965,2.49872,-0.65428,-0.2075103076435141
31,2.923,2.5210999999999997,-0.40190000000000037,-0.13749572357167306,1.61952,-1.30348,-0.4459391036606226,1.73068,-1.19232,-0.4079096818337325,1.2576399999999999,-1.6653600000000002,-0.5697434143003763,1.3234599999999999,-1.5995400000000002,-0.5472254533014027,1.35091,-1.57209,-0.5378344166951762,1.5167199999999998,-1.4062800000000002,-0.4811084502223743,2.44272,-0.48028000000000004,-0.16431063975367774,1.4929199999999998,-1.4300800000000002,-0.48925076975709897,2.44795,-0.47505,-0.1625213821416353
32,1.876,1.59558,-0.2804199999999999,-0.14947761194029846,0.5598799999999999,-1.31612,-0.7015565031982942,0.6713799999999999,-1.20462,-0.6421215351812367,0.36430000000000007,-1.5116999999999998,-0.8058102345415777,0.43599999999999994,-1.44,-0.767590618336887,0.46440000000000015,-1.4115999999999997,-0.7524520255863538,0.7051999999999998,-1.1708,-0.6240938166311302,1.641023,-0.234977,-0.1252542643923241,0.6789999999999998,-1.197,-0.6380597014925374,1.648907,-0.227093,-0.12105170575692964
33,3.011,2.5431,-0.4679000000000002,-0.15539687811358358,1.767,-1.2440000000000002,-0.4131517768183328,1.86967,-1.1413300000000002,-0.37905347060777156,1.45808,-1.55292,-0.5157489206243773,1.51818,-1.49282,-0.49578877449352377,1.54255,-1.46845,-0.48769511790102954,1.69584,-1.31516,-0.4367851212221853,2.48853,-0.5224700000000002,-0.17352042510793764,1.6756499999999996,-1.3353500000000005,-0.44349053470607785,2.49087,-0.52013,-0.17274327465958153
34,3.129,3.1012,-0.027800000000000047,-0.008884627676574,1.85644,-1.27256,-0.40669862575902843,2.01928,-1.1097199999999998,-0.35465643975711086,1.26497,-1.86403,-0.5957270693512304,1.36205,-1.76695,-0.5647011824864174,1.4048,-1.7242,-0.5510386705017577,1.6017199999999998,-1.5272800000000002,-0.4881048258229467,2.9046000000000003,-0.2243999999999997,-0.07171620325982733,1.5696299999999996,-1.5593700000000004,-0.49836049856184095,2.9139,-0.21510000000000007,-0.06874400767018218
35,2.963,2.4763,-0.4866999999999999,-0.16425919676004047,1.61152,-1.35148,-0.4561187985150186,1.72095,-1.24205,-0.41918663516706045,1.2764799999999998,-1.6865200000000002,-0.5691933850826866,1.33773,-1.62527,-0.548521768477894,1.36589,-1.59711,-0.5390178872764091,1.5304799999999998,-1.4325200000000002,-0.4834694566317922,2.39837,-0.5646300000000002,-0.1905602429969626,1.50623,-1.4567700000000001,-0.4916537293283834,2.40257,-0.5604300000000002,-0.18914276071549113
36,3.588,2.9276,-0.6604000000000001,-0.18405797101449278,1.8594499999999998,-1.7285500000000003,-0.48175863991081386,1.99375,-1.5942500000000002,-0.44432831661092537,1.46149,-2.12651,-0.5926727982162765,1.54122,-2.04678,-0.5704515050167224,1.5739900000000002,-2.01401,-0.5613182831661092,1.78311,-1.80489,-0.5030351170568562,2.8628,-0.7252000000000001,-0.20211817168338908,1.7547599999999997,-1.8332400000000004,-0.5109364548494985,2.8669000000000002,-0.7210999999999999,-0.20097547380156072
37,3.323,2.7235,-0.5994999999999999,-0.1804092687330725,1.72533,-1.59767,-0.48079145350586816,1.8414899999999998,-1.48151,-0.44583508877520317,1.45077,-1.87223,-0.5634155883238038,1.5238,-1.7992,-0.5414384592235931,1.55356,-1.76944,-0.532482696358712,1.7817399999999999,-1.54126,-0.46381582907011737,2.7347,-0.5882999999999998,-0.17703882034306345,1.7544699999999998,-1.5685300000000002,-0.47202226903400546,2.7371,-0.5859000000000001,-0.1763165814023473
