,Avg. RMSE
0,0.5984958980708417
1,0.5583085206462047
2,0.3765814461958792
3,0.1073124750171894
4,0.5520546579729592
5,0.5562342028424713
6,0.10882835278369553
7,0.49953471225444385
8,0.48577997876855195
9,0.5760430698106814
