,ratio,rndint,dataset,learning_rate,epoch,mape,r2
946,0.25,634.0,Grid1296,0.001,184.0,0.1068,0.0727
947,0.25,554.0,Sobol1,0.001,265.0,0.0968,0.0207
948,0.25,294.0,Sobol2,0.001,375.0,0.0972,-0.0347
949,0.25,725.0,Grid2401,0.001,205.0,0.1337,-0.1673
950,0.25,731.0,Sobol2,0.001,361.0,0.0962,-0.0751
951,0.25,791.0,Sobol2,0.001,417.0,0.0954,-0.0541
952,0.25,725.0,Grid1296,0.001,305.0,0.1091,0.0046
953,0.25,390.0,Grid2401,0.001,241.0,0.1335,-0.2067
954,0.25,390.0,Sobol1,0.001,436.0,0.0983,-0.0298
955,0.25,854.0,Sobol2,0.001,382.0,0.0966,-0.0671
956,0.25,249.0,Sobol1,0.001,428.0,0.097,-0.02
957,0.25,510.0,Grid1296,0.001,266.0,0.1097,0.0126
958,0.25,554.0,Sobol2,0.001,417.0,0.0962,-0.063
959,0.25,593.0,Grid1296,0.001,270.0,0.1106,-0.0058
960,0.25,562.0,Grid2401,0.001,457.0,0.1338,-0.1942
961,0.25,78.0,Grid2401,0.001,449.0,0.1307,-0.1593
962,0.25,222.0,Grid2401,0.001,133.0,0.1268,-0.0795
963,0.25,582.0,Grid2401,0.001,150.0,0.1314,-0.1559
964,0.25,249.0,Grid2401,0.001,153.0,0.1333,-0.1612
965,0.25,35.0,Grid2401,0.001,107.0,0.1292,-0.0802
966,0.25,582.0,Grid1296,0.001,332.0,0.1108,-0.0174
967,0.25,249.0,Sobol2,0.001,522.0,0.0951,-0.0609
968,0.25,180.0,Sobol2,0.001,702.0,0.0962,-0.0538
969,0.25,930.0,Sobol2,0.001,373.0,0.0958,-0.0367
970,0.25,928.0,Sobol1,0.001,567.0,0.0987,-0.0446
971,0.25,510.0,Sobol2,0.001,983.0,0.097,-0.0718
972,0.25,294.0,Grid2401,0.001,107.0,0.1288,-0.0891
973,0.25,78.0,Sobol1,0.001,296.0,0.0984,-0.0381
974,0.25,731.0,Grid2401,0.001,146.0,0.1312,-0.1361
975,0.25,582.0,Sobol1,0.001,245.0,0.0967,-0.0203
976,0.25,759.0,Sobol1,0.001,240.0,0.0983,-0.0142
977,0.25,35.0,Sobol1,0.001,239.0,0.098,0.0018
978,0.25,731.0,Sobol1,0.001,258.0,0.0988,-0.0164
979,0.25,249.0,Grid1296,0.001,339.0,0.1104,-0.0085
980,0.25,791.0,Grid1296,0.001,182.0,0.1117,0.0046
981,0.25,928.0,Grid2401,0.001,100.0,0.1289,-0.0901
982,0.25,928.0,Sobol2,0.001,750.0,0.0952,-0.0592
983,0.25,930.0,Sobol1,0.001,312.0,0.0975,-0.037
984,0.25,854.0,Grid2401,0.001,135.0,0.1302,-0.1089
985,0.25,180.0,Grid2401,0.001,103.0,0.1233,-0.0118
986,0.25,554.0,Grid2401,0.001,190.0,0.1302,-0.1252
987,0.25,593.0,Sobol1,0.001,473.0,0.0974,-0.0299
988,0.25,78.0,Sobol2,0.001,425.0,0.0956,-0.0349
989,0.25,854.0,Sobol1,0.001,261.0,0.0946,0.0086
990,0.25,222.0,Sobol2,0.001,665.0,0.095,-0.0676
991,0.25,562.0,Sobol1,0.001,396.0,0.0973,-0.0206
992,0.25,582.0,Sobol2,0.001,433.0,0.0967,-0.0666
993,0.25,725.0,Sobol1,0.001,444.0,0.0965,-0.0117
994,0.25,510.0,Grid2401,0.001,136.0,0.1263,-0.0841
995,0.25,593.0,Grid2401,0.001,185.0,0.1311,-0.1316
996,0.25,634.0,Sobol1,0.001,424.0,0.0986,-0.0225
997,0.25,634.0,Grid2401,0.001,138.0,0.1262,-0.0338
998,0.25,180.0,Sobol1,0.001,399.0,0.097,-0.0316
999,0.25,510.0,Sobol1,0.001,318.0,0.0952,0.0027
1000,0.3,395.0,Grid1296,0.001,184.0,0.1051,0.0731
1001,0.3,297.0,Grid1296,0.001,211.0,0.1084,-0.001
1002,0.3,721.0,Sobol1,0.001,442.0,0.0989,-0.0188
1003,0.3,678.0,Grid2401,0.001,176.0,0.1231,-0.0898
1004,0.3,16.0,Sobol2,0.001,865.0,0.1004,-0.0692
1005,0.3,678.0,Grid1296,0.001,228.0,0.107,0.0192
1006,0.3,588.0,Grid1296,0.001,237.0,0.1075,-0.0015
1007,0.3,588.0,Sobol2,0.001,718.0,0.0994,-0.076
1008,0.3,490.0,Grid1296,0.001,189.0,0.1106,-0.0035
1009,0.3,395.0,Sobol1,0.001,386.0,0.0997,-0.0086
1010,0.3,721.0,Sobol2,0.001,440.0,0.1001,-0.0498
1011,0.3,985.0,Grid1296,0.001,204.0,0.1061,0.0353
1012,0.3,147.0,Sobol2,0.001,648.0,0.1,-0.042
1013,0.3,951.0,Sobol2,0.001,416.0,0.0993,-0.0625
1014,0.3,877.0,Grid1296,0.001,259.0,0.1069,0.0141
1015,0.3,877.0,Sobol1,0.001,195.0,0.0983,0.0084
1016,0.3,721.0,Grid2401,0.001,126.0,0.1274,-0.1161
1017,0.3,561.0,Sobol1,0.001,244.0,0.0996,0.0014
1018,0.3,711.0,Grid1296,0.001,167.0,0.111,-0.0284
1019,0.3,171.0,Sobol1,0.001,465.0,0.1006,-0.0329
1020,0.3,237.0,Sobol2,0.001,243.0,0.0988,-0.0179
1021,0.3,588.0,Grid2401,0.001,129.0,0.119,0.0194
1022,0.3,951.0,Grid1296,0.001,209.0,0.1078,0.0305
1023,0.3,490.0,Sobol1,0.001,193.0,0.0998,-0.004
1024,0.3,877.0,Grid2401,0.001,172.0,0.1317,-0.2008
1025,0.3,297.0,Sobol1,0.001,258.0,0.0995,-0.0419
1026,0.3,711.0,Sobol1,0.001,182.0,0.0973,0.0431
1027,0.3,678.0,Sobol1,0.001,230.0,0.1001,-0.0182
1028,0.3,75.0,Sobol2,0.001,512.0,0.0999,-0.0763
1029,0.3,147.0,Grid2401,0.001,183.0,0.1302,-0.1636
1030,0.3,75.0,Grid2401,0.001,135.0,0.1234,-0.0615
1031,0.3,561.0,Grid1296,0.001,322.0,0.1099,-0.0443
1032,0.3,561.0,Sobol2,0.001,446.0,0.0987,-0.0537
1033,0.3,16.0,Sobol1,0.001,305.0,0.0986,0.0071
1034,0.3,237.0,Grid1296,0.001,245.0,0.1079,0.0098
1035,0.3,237.0,Grid2401,0.001,174.0,0.1262,-0.13
1036,0.3,951.0,Sobol1,0.001,184.0,0.0973,0.0762
1037,0.3,490.0,Grid2401,0.001,141.0,0.122,-0.0557
1038,0.3,395.0,Sobol2,0.001,268.0,0.0993,-0.0151
1039,0.3,297.0,Grid2401,0.001,104.0,0.1244,-0.0675
1040,0.3,75.0,Grid1296,0.001,332.0,0.1064,0.0131
1041,0.3,75.0,Sobol1,0.001,542.0,0.0998,-0.0257
1042,0.3,678.0,Sobol2,0.001,437.0,0.0987,-0.0649
1043,0.3,395.0,Grid2401,0.001,137.0,0.1288,-0.1263
1044,0.3,297.0,Sobol2,0.001,395.0,0.098,-0.0375
1045,0.3,711.0,Sobol2,0.001,294.0,0.1007,-0.0402
1046,0.3,147.0,Grid1296,0.001,427.0,0.1099,-0.0364
1047,0.3,147.0,Sobol1,0.001,288.0,0.0995,-0.0067
1048,0.3,951.0,Grid2401,0.001,122.0,0.1228,-0.0523
1049,0.3,877.0,Sobol2,0.001,393.0,0.0988,-0.0556
1050,0.3,721.0,Grid1296,0.001,382.0,0.1072,0.0118
1051,0.3,711.0,Grid2401,0.001,107.0,0.1199,-0.0039
1052,0.3,561.0,Grid2401,0.001,134.0,0.1269,-0.0911
1053,0.3,237.0,Sobol1,0.001,179.0,0.1,0.0091
1054,0.3,588.0,Sobol1,0.001,309.0,0.0988,0.0026
1055,0.3,490.0,Sobol2,0.001,394.0,0.1001,-0.0637
1056,0.3,985.0,Sobol2,0.001,900.0,0.1002,-0.0612
1057,0.3,171.0,Sobol2,0.001,449.0,0.0997,-0.0456
1058,0.3,171.0,Grid2401,0.001,133.0,0.1268,-0.1053
1059,0.3,16.0,Grid1296,0.001,185.0,0.107,0.0472
1060,0.3,985.0,Grid2401,0.001,109.0,0.1232,-0.0526
1061,0.3,171.0,Grid1296,0.001,184.0,0.1062,0.0549
1062,0.3,985.0,Sobol1,0.001,319.0,0.1006,-0.0275
1063,0.3,968.0,Sobol1,0.001,246.0,0.0998,-0.0317
1064,0.3,986.0,Grid2401,0.001,506.0,0.1277,-0.1719
1065,0.3,829.0,Sobol1,0.001,304.0,0.0991,-0.0322
1066,0.3,930.0,Grid1296,0.001,185.0,0.108,0.0337
1067,0.3,669.0,Grid1296,0.001,167.0,0.1097,-0.0097
1068,0.3,999.0,Grid1296,0.001,200.0,0.1095,-0.0043
1069,0.3,530.0,Sobol1,0.001,487.0,0.0988,-0.033
1070,0.3,794.0,Grid2401,0.001,117.0,0.1246,-0.0799
1071,0.3,633.0,Sobol2,0.001,351.0,0.0991,-0.0159
1072,0.3,794.0,Sobol1,0.001,376.0,0.099,-0.0169
1073,0.3,816.0,Grid1296,0.001,262.0,0.1107,-0.0429
1074,0.3,936.0,Sobol1,0.001,451.0,0.0991,-0.0069
1075,0.3,816.0,Grid2401,0.001,102.0,0.1246,-0.0427
1076,0.3,48.0,Sobol2,0.001,488.0,0.099,-0.0216
1077,0.3,48.0,Grid2401,0.001,133.0,0.1189,0.0043
1078,0.3,272.0,Grid1296,0.001,234.0,0.1075,0.0145
1079,0.3,829.0,Grid2401,0.001,207.0,0.1236,-0.0749
1080,0.3,390.0,Sobol2,0.001,599.0,0.0981,-0.0261
1081,0.3,16.0,Grid2401,0.001,181.0,0.1245,-0.0423
1082,0.3,794.0,Grid1296,0.001,146.0,0.1119,-0.0203
1083,0.3,999.0,Sobol1,0.001,298.0,0.0983,-0.0144
1084,0.3,936.0,Grid1296,0.001,810.0,0.1084,-0.02
1085,0.3,111.0,Grid2401,0.001,102.0,0.1225,-0.0264
1086,0.3,816.0,Sobol2,0.001,663.0,0.0992,-0.0304
1087,0.3,968.0,Grid1296,0.001,359.0,0.1088,-0.0322
1088,0.3,816.0,Sobol1,0.001,335.0,0.0986,-0.0214
1089,0.3,968.0,Grid2401,0.001,134.0,0.1222,-0.032
1090,0.3,996.0,Grid1296,0.001,293.0,0.1075,0.0161
1091,0.3,986.0,Sobol1,0.001,480.0,0.0989,-0.0183
1092,0.3,759.0,Grid1296,0.001,289.0,0.1066,0.026
1093,0.3,272.0,Sobol1,0.001,297.0,0.0992,-0.0073
1094,0.3,669.0,Sobol2,0.001,417.0,0.1001,-0.0472
1095,0.3,272.0,Grid2401,0.001,596.0,0.1303,-0.21
1096,0.3,669.0,Grid2401,0.001,142.0,0.128,-0.1398
1097,0.3,530.0,Grid2401,0.001,140.0,0.1287,-0.1156
1098,0.3,999.0,Grid2401,0.001,125.0,0.1195,-0.021
1099,0.3,272.0,Sobol2,0.001,307.0,0.0999,-0.0332
1100,0.3,390.0,Grid2401,0.001,171.0,0.1263,-0.1118
1101,0.3,936.0,Grid2401,0.001,429.0,0.1302,-0.1846
1102,0.3,48.0,Grid1296,0.001,194.0,0.1075,0.0361
1103,0.3,986.0,Grid1296,0.001,175.0,0.1075,0.0242
1104,0.3,759.0,Sobol1,0.001,208.0,0.099,0.0103
1105,0.3,829.0,Sobol2,0.001,400.0,0.0996,-0.0545
1106,0.3,48.0,Sobol1,0.001,591.0,0.0997,-0.0206
1107,0.3,996.0,Sobol2,0.001,330.0,0.0994,-0.04
1108,0.3,759.0,Sobol2,0.001,352.0,0.1002,-0.0445
1109,0.3,530.0,Grid1296,0.001,209.0,0.1095,-0.0038
1110,0.3,390.0,Grid1296,0.001,157.0,0.1136,-0.0456
1111,0.3,530.0,Sobol2,0.001,472.0,0.0994,-0.0539
1112,0.3,669.0,Sobol1,0.001,305.0,0.1008,-0.0325
1113,0.3,996.0,Sobol1,0.001,413.0,0.1007,-0.013
1114,0.3,930.0,Sobol2,0.001,581.0,0.0982,-0.0242
1115,0.3,999.0,Sobol2,0.001,325.0,0.099,-0.0262
1116,0.3,794.0,Sobol2,0.001,250.0,0.0998,-0.0323
1117,0.3,928.0,Sobol2,0.001,461.0,0.0989,-0.041
1118,0.3,936.0,Sobol2,0.001,372.0,0.0997,-0.0466
1119,0.3,111.0,Grid1296,0.001,245.0,0.1085,-0.0005
1120,0.3,390.0,Sobol1,0.001,885.0,0.1001,-0.0192
1121,0.3,111.0,Sobol2,0.001,986.0,0.101,-0.0402
1122,0.3,111.0,Sobol1,0.001,370.0,0.1007,-0.0173
1123,0.3,968.0,Sobol2,0.001,430.0,0.099,-0.0181
1124,0.3,986.0,Sobol2,0.001,255.0,0.0995,-0.0291
1125,0.3,829.0,Grid1296,0.001,271.0,0.1085,-0.0139
1126,0.3,633.0,Grid1296,0.001,168.0,0.1071,0.0401
1127,0.3,996.0,Grid2401,0.001,153.0,0.1292,-0.1352
1128,0.3,759.0,Grid2401,0.001,135.0,0.1293,-0.126
1129,0.3,634.0,Grid1296,0.001,274.0,0.1073,0.0013
1130,0.3,633.0,Grid2401,0.001,96.0,0.1237,-0.0197
1131,0.3,249.0,Sobol2,0.001,335.0,0.0995,-0.0393
1132,0.3,249.0,Grid2401,0.001,94.0,0.1239,-0.02
1133,0.3,593.0,Sobol2,0.001,283.0,0.0999,-0.0262
1134,0.3,930.0,Sobol1,0.001,351.0,0.0991,-0.0385
1135,0.3,78.0,Grid2401,0.001,140.0,0.1244,-0.0717
1136,0.3,725.0,Sobol2,0.001,313.0,0.0986,-0.0193
1137,0.3,294.0,Sobol1,0.001,377.0,0.0986,-0.0135
1138,0.3,582.0,Sobol1,0.001,289.0,0.0987,-0.0179
1139,0.3,791.0,Sobol1,0.001,358.0,0.0994,0.0023
1140,0.3,562.0,Grid1296,0.001,179.0,0.1082,0.0087
1141,0.3,554.0,Sobol2,0.001,405.0,0.1002,-0.0465
1142,0.3,180.0,Sobol1,0.001,266.0,0.0997,-0.0402
1143,0.3,928.0,Sobol1,0.001,271.0,0.0989,-0.0091
1144,0.3,78.0,Grid1296,0.001,260.0,0.1102,-0.028
1145,0.3,78.0,Sobol2,0.001,354.0,0.0992,-0.0323
1146,0.3,634.0,Sobol2,0.001,521.0,0.1,-0.0486
1147,0.3,554.0,Sobol1,0.001,257.0,0.0992,-0.0054
1148,0.3,294.0,Sobol2,0.001,411.0,0.0996,-0.0178
1149,0.3,562.0,Sobol1,0.001,962.0,0.1,-0.0238
1150,0.3,582.0,Grid2401,0.001,111.0,0.1255,-0.0669
1151,0.3,510.0,Grid2401,0.001,191.0,0.1247,-0.0839
1152,0.3,928.0,Grid1296,0.001,169.0,0.1123,-0.0432
1153,0.3,562.0,Grid2401,0.001,100.0,0.1202,0.0222
1154,0.3,731.0,Grid1296,0.001,180.0,0.1093,-0.0162
1155,0.3,249.0,Grid1296,0.001,238.0,0.1085,0.0104
1156,0.3,725.0,Sobol1,0.001,447.0,0.0995,-0.0347
1157,0.3,593.0,Grid1296,0.001,803.0,0.1095,-0.0303
1158,0.3,930.0,Grid2401,0.001,126.0,0.1228,-0.0351
1159,0.3,633.0,Sobol1,0.001,209.0,0.0958,0.0424
1160,0.3,562.0,Sobol2,0.001,423.0,0.0984,-0.0565
1161,0.3,294.0,Grid2401,0.001,106.0,0.126,-0.0766
1162,0.3,731.0,Grid2401,0.001,138.0,0.1218,-0.0289
1163,0.3,510.0,Sobol2,0.001,432.0,0.1006,-0.0695
1164,0.3,222.0,Grid1296,0.001,214.0,0.108,-0.0019
1165,0.3,725.0,Grid1296,0.001,288.0,0.1075,0.0034
1166,0.3,222.0,Grid2401,0.001,93.0,0.1265,-0.0695
1167,0.3,731.0,Sobol2,0.001,462.0,0.0999,-0.0648
1168,0.3,791.0,Sobol2,0.001,591.0,0.0986,-0.0303
1169,0.3,731.0,Sobol1,0.001,854.0,0.1001,-0.0176
1170,0.3,854.0,Grid1296,0.001,251.0,0.1068,0.0357
1171,0.3,294.0,Grid1296,0.001,196.0,0.1092,0.0186
1172,0.3,222.0,Sobol1,0.001,330.0,0.0982,0.0071
1173,0.3,791.0,Grid1296,0.001,235.0,0.1071,0.0199
1174,0.3,35.0,Sobol2,0.001,383.0,0.0994,-0.0602
1175,0.3,35.0,Sobol1,0.001,376.0,0.1005,-0.0069
1176,0.3,554.0,Grid1296,0.001,208.0,0.1063,0.0169
1177,0.3,854.0,Sobol2,0.001,454.0,0.1007,-0.0477
1178,0.3,78.0,Sobol1,0.001,326.0,0.0993,-0.0134
1179,0.3,582.0,Sobol2,0.001,515.0,0.0995,-0.0558
1180,0.3,35.0,Grid1296,0.001,184.0,0.106,0.0452
1181,0.3,791.0,Grid2401,0.001,151.0,0.1261,-0.1158
1182,0.3,928.0,Grid2401,0.001,211.0,0.1274,-0.1129
1183,0.3,510.0,Grid1296,0.001,305.0,0.109,-0.0162
1184,0.3,854.0,Grid2401,0.001,176.0,0.1291,-0.1285
1185,0.3,180.0,Grid1296,0.001,325.0,0.1079,0.0019
1186,0.3,35.0,Grid2401,0.001,136.0,0.1265,-0.0797
1187,0.3,554.0,Grid2401,0.001,118.0,0.1235,-0.0416
1188,0.3,854.0,Sobol1,0.001,550.0,0.0987,-0.0241
1189,0.3,222.0,Sobol2,0.001,630.0,0.0986,-0.0426
1190,0.3,582.0,Grid1296,0.001,207.0,0.1081,0.0116
1191,0.3,725.0,Grid2401,0.001,104.0,0.1209,-0.0199
1192,0.3,180.0,Sobol2,0.001,439.0,0.1,-0.034
1193,0.3,249.0,Sobol1,0.001,340.0,0.0986,-0.012
1194,0.3,180.0,Grid2401,0.001,104.0,0.1275,-0.0739
1195,0.3,593.0,Grid2401,0.001,153.0,0.1225,-0.0708
1196,0.3,634.0,Grid2401,0.001,104.0,0.1241,-0.0622
1197,0.3,510.0,Sobol1,0.001,324.0,0.0987,-0.0147
1198,0.3,593.0,Sobol1,0.001,460.0,0.1013,-0.0361
1199,0.3,634.0,Sobol1,0.001,873.0,0.0998,-0.0084
1200,0.35,721.0,Grid1296,0.001,567.0,0.1087,-0.0496
1201,0.35,678.0,Sobol1,0.001,314.0,0.0914,0.0004
1202,0.35,16.0,Sobol1,0.001,312.0,0.0939,-0.0328
1203,0.35,678.0,Sobol2,0.001,996.0,0.1023,-0.0622
1204,0.35,171.0,Sobol2,0.001,959.0,0.1014,-0.0461
1205,0.35,561.0,Grid2401,0.001,136.0,0.1263,-0.0858
1206,0.35,171.0,Sobol1,0.001,402.0,0.0924,-0.0257
1207,0.35,561.0,Sobol2,0.001,472.0,0.1004,-0.038
1208,0.35,297.0,Sobol2,0.001,998.0,0.1004,-0.053
1209,0.35,985.0,Sobol2,0.001,369.0,0.1021,-0.0615
1210,0.35,237.0,Sobol1,0.001,314.0,0.0915,0.0322
1211,0.35,721.0,Grid2401,0.001,133.0,0.129,-0.1369
1212,0.35,951.0,Sobol1,0.001,270.0,0.0936,0.03
1213,0.35,75.0,Sobol2,0.001,629.0,0.1022,-0.0726
1214,0.35,490.0,Sobol2,0.001,753.0,0.1018,-0.0535
1215,0.35,395.0,Sobol1,0.001,493.0,0.0934,-0.0508
1216,0.35,711.0,Sobol1,0.001,324.0,0.0922,0.0187
1217,0.35,297.0,Grid1296,0.001,660.0,0.1093,-0.006
1218,0.35,171.0,Grid1296,0.001,229.0,0.1047,0.0246
1219,0.35,147.0,Grid2401,0.001,151.0,0.1228,-0.0475
1220,0.35,721.0,Sobol1,0.001,329.0,0.092,0.0117
1221,0.35,16.0,Grid1296,0.001,238.0,0.1049,0.0007
1222,0.35,147.0,Sobol1,0.001,470.0,0.0915,-0.009
1223,0.35,297.0,Sobol1,0.001,812.0,0.0926,-0.0591
1224,0.35,985.0,Grid1296,0.001,305.0,0.105,-0.0015
1225,0.35,561.0,Sobol1,0.001,310.0,0.0939,0.0103
1226,0.35,237.0,Sobol2,0.001,350.0,0.1012,-0.0348
1227,0.35,985.0,Sobol1,0.001,225.0,0.0918,-0.0104
1228,0.35,588.0,Grid2401,0.001,136.0,0.1298,-0.1602
1229,0.35,588.0,Sobol2,0.001,385.0,0.101,-0.0589
1230,0.35,951.0,Grid1296,0.001,350.0,0.1045,-0.0059
1231,0.35,490.0,Grid1296,0.001,165.0,0.1029,0.0709
1232,0.35,669.0,Sobol1,0.001,168.0,0.0929,0.0608
1233,0.35,395.0,Grid2401,0.001,118.0,0.129,-0.116
1234,0.35,877.0,Grid2401,0.001,181.0,0.1326,-0.1841
1235,0.35,297.0,Grid2401,0.001,104.0,0.1289,-0.1032
1236,0.35,75.0,Sobol1,0.001,275.0,0.0914,0.0127
1237,0.35,147.0,Grid1296,0.001,169.0,0.1072,-0.0222
1238,0.35,530.0,Sobol1,0.001,311.0,0.0915,-0.0277
1239,0.35,951.0,Sobol2,0.001,440.0,0.1005,-0.0561
1240,0.35,490.0,Sobol1,0.001,438.0,0.0927,0.0133
1241,0.35,395.0,Grid1296,0.001,185.0,0.1051,-0.0198
1242,0.35,877.0,Sobol1,0.001,411.0,0.0907,-0.0224
1243,0.35,877.0,Sobol2,0.001,534.0,0.1006,-0.0466
1244,0.35,711.0,Grid2401,0.001,136.0,0.1246,-0.0613
1245,0.35,147.0,Sobol2,0.001,469.0,0.1014,-0.0295
1246,0.35,721.0,Sobol2,0.001,298.0,0.1008,-0.029
1247,0.35,16.0,Sobol2,0.001,532.0,0.1025,-0.0637
1248,0.35,561.0,Grid1296,0.001,607.0,0.1034,-0.0173
1249,0.35,985.0,Grid2401,0.001,102.0,0.1292,-0.0764
1250,0.35,237.0,Grid1296,0.001,222.0,0.1053,0.011
1251,0.35,237.0,Grid2401,0.001,485.0,0.1285,-0.146
1252,0.35,588.0,Grid1296,0.001,323.0,0.1014,0.0384
1253,0.35,588.0,Sobol1,0.001,320.0,0.0936,-0.0601
1254,0.35,951.0,Grid2401,0.001,168.0,0.1294,-0.1319
1255,0.35,490.0,Grid2401,0.001,143.0,0.134,-0.238
1256,0.35,395.0,Sobol2,0.001,350.0,0.1011,-0.0144
1257,0.35,877.0,Grid1296,0.001,221.0,0.1048,-0.0104
1258,0.35,711.0,Grid1296,0.001,219.0,0.1054,0.0079
1259,0.35,171.0,Grid2401,0.001,108.0,0.1228,-0.0053
1260,0.35,678.0,Grid2401,0.001,147.0,0.1259,-0.0713
1261,0.35,678.0,Grid1296,0.001,201.0,0.1071,-0.046
1262,0.35,711.0,Sobol2,0.001,317.0,0.1029,-0.0453
1263,0.35,669.0,Grid1296,0.001,382.0,0.1053,-0.0128
1264,0.35,530.0,Grid1296,0.001,208.0,0.1032,0.0386
1265,0.35,669.0,Grid2401,0.001,130.0,0.1264,-0.1288
1266,0.35,999.0,Grid1296,0.001,229.0,0.1054,0.0043
1267,0.35,996.0,Grid1296,0.001,225.0,0.103,0.0299
1268,0.35,930.0,Sobol2,0.001,488.0,0.1007,-0.0344
1269,0.35,530.0,Sobol2,0.001,311.0,0.1007,-0.0378
1270,0.35,936.0,Sobol2,0.001,484.0,0.1014,-0.0469
1271,0.35,759.0,Sobol1,0.001,314.0,0.0941,-0.0408
1272,0.35,111.0,Sobol2,0.001,419.0,0.102,-0.0141
1273,0.35,816.0,Grid2401,0.001,137.0,0.1269,-0.1257
1274,0.35,968.0,Sobol1,0.001,393.0,0.0899,-0.0311
1275,0.35,829.0,Sobol2,0.001,377.0,0.101,-0.0346
1276,0.35,996.0,Sobol1,0.001,433.0,0.0937,-0.0169
1277,0.35,999.0,Sobol2,0.001,433.0,0.1011,-0.0293
1278,0.35,999.0,Sobol1,0.001,273.0,0.0921,-0.0191
1279,0.35,928.0,Sobol1,0.001,725.0,0.0931,-0.027
1280,0.35,936.0,Grid1296,0.001,326.0,0.1058,-0.0208
1281,0.35,794.0,Sobol2,0.001,294.0,0.1013,-0.0322
1282,0.35,272.0,Grid2401,0.001,111.0,0.1262,-0.0564
1283,0.35,936.0,Grid2401,0.001,132.0,0.1261,-0.1058
1284,0.35,986.0,Sobol1,0.001,958.0,0.0937,-0.0483
1285,0.35,390.0,Sobol1,0.001,457.0,0.0931,-0.0168
1286,0.35,816.0,Grid1296,0.001,384.0,0.1045,-0.006
1287,0.35,111.0,Grid2401,0.001,104.0,0.1278,-0.089
1288,0.35,48.0,Grid1296,0.001,172.0,0.1055,-0.0005
1289,0.35,48.0,Sobol2,0.001,438.0,0.1016,-0.0227
1290,0.35,272.0,Sobol2,0.001,325.0,0.1027,-0.0508
1291,0.35,390.0,Sobol2,0.001,999.0,0.1011,-0.0051
1292,0.35,75.0,Grid1296,0.001,192.0,0.1081,-0.0374
1293,0.35,390.0,Grid1296,0.001,184.0,0.1065,0.0004
1294,0.35,829.0,Grid1296,0.001,312.0,0.1079,-0.0561
1295,0.35,272.0,Sobol1,0.001,268.0,0.0917,0.0034
1296,0.35,75.0,Grid2401,0.001,133.0,0.1287,-0.1271
1297,0.35,968.0,Grid1296,0.001,179.0,0.1044,0.0189
1298,0.35,968.0,Grid2401,0.001,161.0,0.1278,-0.0856
1299,0.35,986.0,Sobol2,0.001,274.0,0.1015,-0.0103
1300,0.35,759.0,Grid1296,0.001,237.0,0.1045,0.002
1301,0.35,16.0,Grid2401,0.001,111.0,0.1257,-0.0618
1302,0.35,669.0,Sobol2,0.001,370.0,0.1022,-0.0452
1303,0.35,633.0,Sobol2,0.001,286.0,0.1027,-0.0319
1304,0.35,530.0,Grid2401,0.001,113.0,0.1277,-0.0964
1305,0.35,986.0,Grid1296,0.001,280.0,0.1061,-0.0333
1306,0.35,986.0,Grid2401,0.001,137.0,0.123,-0.0682
1307,0.35,930.0,Sobol1,0.001,974.0,0.0932,-0.062
1308,0.35,794.0,Grid1296,0.001,220.0,0.1038,0.0341
1309,0.35,633.0,Sobol1,0.001,340.0,0.0914,0.0062
1310,0.35,111.0,Sobol1,0.001,806.0,0.0936,-0.0164
1311,0.35,816.0,Sobol1,0.001,370.0,0.0939,-0.0495
1312,0.35,48.0,Grid2401,0.001,154.0,0.1255,-0.0898
1313,0.35,996.0,Sobol2,0.001,528.0,0.1018,-0.0515
1314,0.35,999.0,Grid2401,0.001,161.0,0.1293,-0.1184
1315,0.35,272.0,Grid1296,0.001,706.0,0.1044,-0.0202
1316,0.35,759.0,Sobol2,0.001,571.0,0.1016,-0.0396
1317,0.35,794.0,Grid2401,0.001,140.0,0.1259,-0.0806
1318,0.35,794.0,Sobol1,0.001,253.0,0.0918,0.069
1319,0.35,48.0,Sobol1,0.001,665.0,0.0943,-0.0858
1320,0.35,996.0,Grid2401,0.001,147.0,0.1268,-0.0703
1321,0.35,111.0,Grid1296,0.001,222.0,0.1045,0.0209
1322,0.35,936.0,Sobol1,0.001,464.0,0.0947,-0.0302
1323,0.35,930.0,Grid1296,0.001,259.0,0.1063,-0.0328
1324,0.35,816.0,Sobol2,0.001,328.0,0.1015,-0.0387
1325,0.35,968.0,Sobol2,0.001,320.0,0.1014,-0.028
1326,0.35,829.0,Grid2401,0.001,136.0,0.1257,-0.0899
1327,0.35,829.0,Sobol1,0.001,523.0,0.0924,-0.0544
1328,0.35,554.0,Grid1296,0.001,150.0,0.1059,0.0235
1329,0.35,928.0,Sobol2,0.001,399.0,0.1,-0.0146
1330,0.35,562.0,Grid1296,0.001,242.0,0.1031,0.0482
1331,0.35,35.0,Sobol1,0.001,545.0,0.0953,-0.0469
1332,0.35,854.0,Sobol1,0.001,342.0,0.0924,-0.0269
1333,0.35,562.0,Sobol2,0.001,330.0,0.1006,-0.0727
1334,0.35,294.0,Grid1296,0.001,291.0,0.1054,-0.0154
1335,0.35,725.0,Grid1296,0.001,864.0,0.1043,-0.0281
1336,0.35,222.0,Grid2401,0.001,109.0,0.1276,-0.1193
1337,0.35,582.0,Sobol2,0.001,345.0,0.1021,-0.0511
1338,0.35,582.0,Sobol1,0.001,358.0,0.0918,-0.0165
