,ratio,rndint,dataset,degree,prediction,target,diff
72,0.05,147.0,Grid1296,9,-6907463.28125,707.0,6908170.28125
73,0.05,147.0,Grid2401,9,-2556379.140558243,707.0,2557086.140558243
74,0.05,147.0,Sobol1,9,717.6358847618103,707.0,-10.635884761810303
75,0.05,147.0,Sobol2,9,715.7258664444089,707.0,-8.725866444408894
76,0.05,147.0,Grid1296,10,-30885066.3125,707.0,30885773.3125
77,0.05,147.0,Grid2401,10,1241288.6169967651,707.0,-1240581.6169967651
78,0.05,147.0,Sobol1,10,720.0459932796657,707.0,-13.045993279665709
79,0.05,147.0,Sobol2,10,699.9712470173836,707.0,7.028752982616425
80,0.05,561.0,Grid1296,1,738.146658376876,707.0,-31.146658376875962
81,0.05,561.0,Grid2401,1,778.3494974157021,707.0,-71.3494974157021
82,0.05,561.0,Sobol1,1,679.1970301162382,707.0,27.80296988376176
83,0.05,561.0,Sobol2,1,663.3386336807455,707.0,43.66136631925451
84,0.05,561.0,Grid1296,2,750.2550371618167,707.0,-43.255037161816745
85,0.05,561.0,Grid2401,2,774.1831783754683,707.0,-67.18317837546829
86,0.05,561.0,Sobol1,2,707.3950009732874,707.0,-0.3950009732874378
87,0.05,561.0,Sobol2,2,702.0726779281615,707.0,4.927322071838489
88,0.05,561.0,Grid1296,3,725.4966913297421,707.0,-18.496691329742134
89,0.05,561.0,Grid2401,3,741.9691052101406,707.0,-34.96910521014058
90,0.05,561.0,Sobol1,3,735.1764699104156,707.0,-28.176469910415562
91,0.05,561.0,Sobol2,3,734.522715752306,707.0,-27.522715752306
92,0.05,561.0,Grid1296,4,705.6161678054614,707.0,1.383832194538627
93,0.05,561.0,Grid2401,4,713.6889844228144,707.0,-6.688984422814428
94,0.05,561.0,Sobol1,4,730.0801310714228,707.0,-23.080131071422784
95,0.05,561.0,Sobol2,4,723.117703624279,707.0,-16.117703624278988
96,0.05,561.0,Grid1296,5,697.1305104376399,707.0,9.869489562360059
97,0.05,561.0,Grid2401,5,712.75,707.0,-5.75
98,0.05,561.0,Sobol1,5,717.6613995751226,707.0,-10.661399575122573
