,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
0,0.05,678.0,Grid1296,78.29512782877418,0.0959223318992898,0.409997556278729,738.5607858351104,707.0,-31.560785835110437
1,0.05,678.0,Grid2401,101.38129969536324,0.118394321795728,0.065037022130061,778.2372142659931,707.0,-71.23721426599309
2,0.05,678.0,Sobol1,71.33833816336424,0.0928192750536823,0.4112388031953481,677.0448251165534,707.0,29.955174883446603
3,0.05,678.0,Sobol2,72.0660418191841,0.0937001280012412,0.3814735184550859,664.6233404165348,707.0,42.3766595834652
4,0.05,147.0,Grid1296,78.34730610794462,0.0957996414821208,0.4091750559037477,738.2090018901504,707.0,-31.209001890150375
5,0.05,147.0,Grid2401,101.24572694478418,0.1181157948439646,0.0755692366387087,776.68484811791,707.0,-69.68484811790995
6,0.05,147.0,Sobol1,71.61397296164104,0.0932214735777462,0.4014880151344999,678.9616351376899,707.0,28.038364862310118
7,0.05,147.0,Sobol2,72.13805279246358,0.0938961584679398,0.3785481278863747,665.1343416530074,707.0,41.86565834699263
8,0.05,561.0,Grid1296,78.22757986516977,0.0957655985362485,0.410896506370363,738.1466583768754,707.0,-31.146658376875394
9,0.05,561.0,Grid2401,101.49449456176676,0.1185783985417991,0.0637938167906335,778.3494974157031,707.0,-71.34949741570313
10,0.05,561.0,Sobol1,71.42039626861398,0.0930673865506805,0.4077396834261274,679.1970301162385,707.0,27.802969883761534
11,0.05,561.0,Sobol2,72.36749737342856,0.0943023478753759,0.3744041031065863,663.3386336807449,707.0,43.66136631925508
12,0.05,237.0,Grid1296,79.01323576946955,0.0960456289130307,0.399885393529628,741.346010299449,707.0,-34.34601029944895
13,0.05,237.0,Grid2401,101.48641867521394,0.1185026318877164,0.0665766016359377,777.8595263110802,707.0,-70.85952631108023
14,0.05,237.0,Sobol1,71.55446971951106,0.0931347521334647,0.4068348960893689,680.0763422643038,707.0,26.923657735696224
15,0.05,237.0,Sobol2,72.0824645144642,0.0938248914648618,0.3819598374498084,665.6599274798372,707.0,41.340072520162835
16,0.05,588.0,Grid1296,78.15748236807029,0.0959776216124043,0.4109724404900564,739.0726991212624,707.0,-32.07269912126242
17,0.05,588.0,Grid2401,101.57836653812436,0.118468766351085,0.0680132959380614,777.579527677106,707.0,-70.57952767710594
18,0.05,588.0,Sobol1,71.57344462468657,0.0931011092302025,0.4045260687420907,678.9075816607897,707.0,28.092418339210326
19,0.05,588.0,Sobol2,71.8064521320147,0.093387563542727,0.384425387687883,665.7674230597822,707.0,41.23257694021777
20,0.05,951.0,Grid1296,78.65746091001884,0.0959700680271314,0.4058822172251417,739.5507764481481,707.0,-32.5507764481481
21,0.05,951.0,Grid2401,101.13735588527312,0.1179429868990666,0.074835188799086,777.0841650407817,707.0,-70.08416504078173
22,0.05,951.0,Sobol1,71.49061778723707,0.0930597896282483,0.4166821417051218,678.7763165035021,707.0,28.22368349649787
23,0.05,951.0,Sobol2,72.03630064447027,0.093886703845231,0.3826684837557654,667.8306918505016,707.0,39.16930814949842
24,0.05,490.0,Grid1296,78.29496757325705,0.0957916577836235,0.4088971817269473,739.290438834304,707.0,-32.29043883430404
25,0.05,490.0,Grid2401,101.98277939839916,0.1190678314601503,0.0576568374607819,779.0720066214193,707.0,-72.07200662141929
26,0.05,490.0,Sobol1,71.28549462028256,0.0926282615736746,0.4080394279359972,680.0457754299365,707.0,26.954224570063502
27,0.05,490.0,Sobol2,72.34056104854709,0.0941919585684443,0.3761441437943542,664.1177530274358,707.0,42.88224697256419
28,0.05,395.0,Grid1296,78.73233310402199,0.0958803874981248,0.4039249385741886,739.8976431419591,707.0,-32.897643141959065
29,0.05,395.0,Grid2401,101.27604438362796,0.1182471528573645,0.0701701673064955,777.242249771866,707.0,-70.242249771866
30,0.05,395.0,Sobol1,71.29924369065978,0.0928036731696501,0.4095213890006691,678.1871849668496,707.0,28.8128150331504
31,0.05,395.0,Sobol2,72.08867588227598,0.0938002653967125,0.3847067055430002,665.2058257173042,707.0,41.79417428269585
32,0.05,877.0,Grid1296,78.66956250408076,0.0960329018737913,0.4035441963925161,740.5568238513488,707.0,-33.55682385134878
