,ratio,rndint,dataset,rmse,mape,r2
173,0.05,249.0,Grid2401,101.10310509404937,0.1180544987244395,0.07655893487486198
174,0.05,249.0,Sobol1,71.4015055828136,0.09274375489423423,0.40236451408748697
175,0.05,249.0,Sobol2,72.0386347721861,0.09373628966935016,0.3836827879053868
176,0.05,791.0,Grid1296,78.18181248586075,0.09574819531304267,0.41121695949786485
177,0.05,791.0,Grid2401,101.21580430889645,0.11820346844798343,0.06968222093028686
178,0.05,791.0,Sobol1,71.33592692399658,0.0927774107504898,0.40674751290630484
179,0.05,791.0,Sobol2,72.07749982673515,0.0937270733172588,0.37649726334409983
180,0.05,35.0,Grid1296,78.92153576587421,0.0961956870412658,0.40153149994532444
181,0.05,35.0,Grid2401,101.65003239917206,0.11863156441825798,0.06390835290032626
182,0.05,35.0,Sobol1,71.09110541224402,0.09244754879622029,0.41729740969975404
183,0.05,35.0,Sobol2,72.08456804561257,0.09374855967691662,0.3784752766564682
184,0.05,180.0,Grid1296,79.10110546588481,0.09619878160200433,0.3993976415560758
185,0.05,180.0,Grid2401,101.09777142749397,0.11805682565597117,0.07103663190168141
186,0.05,180.0,Sobol1,71.44199290708514,0.0930359555809649,0.4108738896772287
187,0.05,180.0,Sobol2,71.74220644524864,0.0933495514317077,0.39361937655448564
188,0.05,510.0,Grid1296,78.60715750299686,0.09593667367189497,0.4047588872494642
189,0.05,510.0,Grid2401,101.74625662310125,0.11870807806776268,0.06290849590081238
190,0.05,510.0,Sobol1,71.38081722753894,0.09299254487546167,0.40349877861146244
191,0.05,510.0,Sobol2,71.95364257271015,0.09348120101659022,0.3847021684955856
192,0.05,593.0,Grid1296,78.64547363310268,0.09613484456750714,0.40661821488119365
193,0.05,593.0,Grid2401,101.32917104155473,0.11826714351596399,0.0722134456482092
194,0.05,593.0,Sobol1,71.57073291557558,0.09307409921145864,0.40123412143275916
195,0.05,593.0,Sobol2,71.76042700478396,0.09331283521285731,0.38676235807421233
196,0.05,634.0,Grid1296,78.2587453789922,0.0957158701565557,0.41105920571742127
197,0.05,634.0,Grid2401,101.37089744160967,0.11842112398505458,0.06762272543037051
198,0.05,634.0,Sobol1,71.22676132820904,0.0926499324214073,0.41812592996323694
199,0.05,634.0,Sobol2,72.12850543586636,0.09375490753153475,0.37547914941979843
200,0.1,678.0,Grid1296,78.09940687265974,0.09555960895598399,0.4097114161580412
201,0.1,678.0,Grid2401,100.7883483487907,0.11717503133100567,0.06978410543142899
202,0.1,678.0,Sobol1,71.59545713394989,0.09345203421300632,0.41936469648331576
203,0.1,678.0,Sobol2,71.94116697837839,0.0936284583152491,0.38940232846362144
204,0.1,147.0,Grid1296,78.22004241972246,0.09548330375635074,0.4079274044678267
205,0.1,147.0,Grid2401,101.0815318130548,0.11743996947920611,0.06941357485733102
206,0.1,147.0,Sobol1,71.59081623031264,0.09336707401793208,0.4097144181603588
207,0.1,147.0,Sobol2,72.35520167315929,0.09433540333242088,0.3761532001360822
208,0.1,561.0,Grid1296,77.86087934054457,0.09548191608661845,0.41345806442074584
209,0.1,561.0,Grid2401,101.00171066855812,0.11753815524285696,0.06688684572654102
210,0.1,561.0,Sobol1,71.40483655718096,0.09313651312121854,0.4181223670062517
211,0.1,561.0,Sobol2,72.51708888664031,0.09442012133553271,0.3756384528896878
212,0.1,237.0,Grid1296,78.76926333915961,0.09574750075953015,0.3993917825181693
213,0.1,237.0,Grid2401,100.87623531912743,0.11746212851215929,0.0701605228497787
214,0.1,237.0,Sobol1,71.79922031877653,0.09372683558077013,0.40577439628790235
215,0.1,237.0,Sobol2,72.26548310946784,0.09420230569254032,0.38445143057323683
216,0.1,588.0,Grid1296,77.46762265275127,0.09565769428495854,0.41781377549457255
217,0.1,588.0,Grid2401,100.52844116599849,0.11685285060665154,0.07777123142651177
218,0.1,588.0,Sobol1,71.54732000116614,0.093197181970066,0.4073035784032274
219,0.1,588.0,Sobol2,71.83647524696492,0.0934879337433761,0.38626989794781574
220,0.1,951.0,Grid1296,78.20901440056105,0.09537580440588181,0.4091717946510277
221,0.1,951.0,Grid2401,100.15489303548557,0.11634879117630882,0.086242639252893
222,0.1,951.0,Sobol1,71.66561128139584,0.09340620694824629,0.41909781071677565
223,0.1,951.0,Sobol2,72.16073007540359,0.09400353663003502,0.38219707433424543
224,0.1,490.0,Grid1296,78.2853649400468,0.09543374910548932,0.40680384368785616
225,0.1,490.0,Grid2401,101.35046783460827,0.11789332342419499,0.058583030232537525
226,0.1,490.0,Sobol1,71.33413446122012,0.09274958854026799,0.4206376872186667
227,0.1,490.0,Sobol2,72.64432622545682,0.09463532370208455,0.3753320539892844
228,0.1,395.0,Grid1296,78.37227389689019,0.09549934970638134,0.4057956848480804
229,0.1,395.0,Grid2401,100.39753904662285,0.11674717147226193,0.08047493037077535
230,0.1,395.0,Sobol1,71.40623545773008,0.09291582202788923,0.4156240237089578
231,0.1,395.0,Sobol2,72.05788566570334,0.09408496939792894,0.396922742474605
232,0.1,877.0,Grid1296,78.10658870832286,0.09557094898514404,0.4083615796199155
233,0.1,877.0,Grid2401,100.72011646930328,0.11701340795861971,0.07504730484792266
234,0.1,877.0,Sobol1,71.22490464508793,0.09275845192242671,0.411890568022938
235,0.1,877.0,Sobol2,72.21791395168809,0.09416355135137289,0.3848660486580592
236,0.1,297.0,Grid1296,77.85044945901288,0.09532109029137828,0.4129836559012743
237,0.1,297.0,Grid2401,100.18708223700649,0.11655968977079972,0.08134098316832494
238,0.1,297.0,Sobol1,71.66275224369215,0.09330229733922263,0.408910999573214
239,0.1,297.0,Sobol2,71.96000680655256,0.09358160231992471,0.38381633162391493
240,0.1,721.0,Grid1296,78.43178883614004,0.09573875495051976,0.4058934109950043
241,0.1,721.0,Grid2401,100.54607798442154,0.1169449868274488,0.07660900019654848
242,0.1,721.0,Sobol1,71.40236396528944,0.09300808159897071,0.4131310374516428
243,0.1,721.0,Sobol2,72.50293233829083,0.09445116913642271,0.37695277748663747
244,0.1,711.0,Grid1296,78.34436980011984,0.09567306470216215,0.4076117763390523
245,0.1,711.0,Grid2401,100.8358287255393,0.11732894368016039,0.0714864819481772
246,0.1,711.0,Sobol1,71.35794890531183,0.09277906154844003,0.4126082593601397
247,0.1,711.0,Sobol2,72.46509266895805,0.09439606546767945,0.3790995813280459
248,0.1,985.0,Grid1296,78.312375794722,0.09547810886541207,0.407186089877857
249,0.1,985.0,Grid2401,100.74685050727024,0.11704057947414322,0.07500987795280989
250,0.1,985.0,Sobol1,71.66281143600139,0.09338010910995405,0.40694823267747693
251,0.1,985.0,Sobol2,72.15122203483782,0.0938989654926042,0.3906246235265941
252,0.1,171.0,Grid1296,78.68603418867787,0.09571984341469543,0.4027934582633902
253,0.1,171.0,Grid2401,100.98074659907697,0.11752784306940553,0.07178236123731807
254,0.1,171.0,Sobol1,71.68054597783272,0.09350723637540902,0.4105606693578491
255,0.1,171.0,Sobol2,72.28952224224997,0.09407705779172633,0.3839364219029864
256,0.1,75.0,Grid1296,78.15180660139585,0.0955372689664609,0.4091828054846446
257,0.1,75.0,Grid2401,100.39874849113947,0.11694928019691025,0.07818884629755196
258,0.1,75.0,Sobol1,71.28038945995674,0.09266025318615388,0.4137409506909534
259,0.1,75.0,Sobol2,72.12645842420771,0.09398516217057742,0.38280222864092694
260,0.1,16.0,Grid1296,78.70493145954006,0.09584258519584798,0.40267757879872235
261,0.1,16.0,Grid2401,100.45759919859903,0.11673221689847584,0.08166755139476478
262,0.1,16.0,Sobol1,71.42967781876932,0.09304044964145772,0.4082092260760122
263,0.1,16.0,Sobol2,72.66359692220288,0.09465799587131685,0.36894073860989096
264,0.1,669.0,Grid1296,78.18091793816612,0.09532702168524279,0.4084794734650883
265,0.1,669.0,Grid2401,100.58272786307514,0.1169546295482171,0.0755521070797529
266,0.1,669.0,Sobol1,71.70958321319932,0.09342024115142299,0.4062251881967116
267,0.1,669.0,Sobol2,71.78905868717864,0.09334731013119348,0.393979207977336
268,0.1,530.0,Grid1296,78.13428615477734,0.09554413414045752,0.41163630860590605
269,0.1,530.0,Grid2401,100.71718612394666,0.11716450036343071,0.07289461941013842
270,0.1,530.0,Sobol1,71.51064387841637,0.09305420190123738,0.40547833104084163
271,0.1,530.0,Sobol2,72.2927180094104,0.09415228815470451,0.38451246797766303
272,0.1,999.0,Grid1296,79.16840942285681,0.09586614582729538,0.3953248370857949
273,0.1,999.0,Grid2401,100.14892761768486,0.11663311153653858,0.07949685595823608
274,0.1,999.0,Sobol1,71.57187214766782,0.09334664094055825,0.4084409634294385
275,0.1,999.0,Sobol2,72.31795740797959,0.09421973549332557,0.3807292096541325
276,0.1,794.0,Grid1296,78.16100746183487,0.095406811037561,0.4079401827396857
277,0.1,794.0,Grid2401,101.22229861531058,0.11780470444909615,0.06238391495945572
278,0.1,794.0,Sobol1,71.45241051922925,0.09312648298028194,0.4109201399882899
279,0.1,794.0,Sobol2,72.53342292465055,0.09444553055381123,0.3838664383631972
280,0.1,936.0,Grid1296,78.11433165914087,0.09552782246235896,0.4100464790161228
281,0.1,936.0,Grid2401,100.73355825821136,0.11722035435031947,0.06913424673982882
282,0.1,936.0,Sobol1,71.66525358451524,0.09343585900116777,0.4080615041528677
283,0.1,936.0,Sobol2,72.06906791458859,0.09375268510024373,0.3869137454353916
284,0.1,111.0,Grid1296,78.41769821238191,0.0954790701483776,0.40746783058074354
285,0.1,111.0,Grid2401,100.84354959543974,0.11716329141719299,0.0751098343405503
286,0.1,111.0,Sobol1,71.68183603058482,0.09335039268959937,0.40576249083847815
287,0.1,111.0,Sobol2,72.42247272169028,0.09440388643419755,0.38786074678763127
288,0.1,816.0,Grid1296,78.34081456750957,0.09565540777077676,0.40963570756356327
289,0.1,816.0,Grid2401,101.32493613683515,0.11783724985216762,0.059311829634720925
290,0.1,816.0,Sobol1,71.4775422085223,0.09305091756401658,0.41052756251913536
291,0.1,816.0,Sobol2,72.66668539873022,0.09481613129723504,0.3737399030331332
292,0.1,968.0,Grid1296,77.99788599922344,0.09528478058505345,0.40984708169419914
293,0.1,968.0,Grid2401,100.13296465255249,0.11639292379834765,0.0861188790113987
294,0.1,968.0,Sobol1,71.59346815207611,0.09332524175820225,0.40591424943278964
295,0.1,968.0,Sobol2,72.15335615242564,0.09401956151024696,0.387024721431414
296,0.1,48.0,Grid1296,78.24496000596642,0.09568347818182406,0.40811941030575116
297,0.1,48.0,Grid2401,101.11035172622842,0.11760393882602933,0.06571894257988864
298,0.1,48.0,Sobol1,71.47998729912473,0.09303228400579798,0.4089592580975355
299,0.1,48.0,Sobol2,72.0497380333896,0.09402776572711098,0.39052586327726946
300,0.1,986.0,Grid1296,78.21731486667467,0.09553872576592079,0.41026920854785054
301,0.1,986.0,Grid2401,100.55599585337691,0.11702834745460677,0.07381147867997795
302,0.1,986.0,Sobol1,71.56600103296219,0.09329318488495425,0.40919437888348176
303,0.1,986.0,Sobol2,72.02239002426124,0.09398568243115965,0.38904047251541796
304,0.1,829.0,Grid1296,77.91435179417263,0.09546830469732273,0.4118566861829124
305,0.1,829.0,Grid2401,100.8259606490547,0.11713682431831908,0.07095517179474164
306,0.1,829.0,Sobol1,71.86402729560278,0.09380172603808919,0.40273094295327094
307,0.1,829.0,Sobol2,72.0049865692874,0.09403021038315289,0.39534175643097613
308,0.1,996.0,Grid1296,78.09795284591962,0.09536038580876446,0.41251370602731563
309,0.1,996.0,Grid2401,101.28496702558975,0.11764626810862423,0.06666545306350524
310,0.1,996.0,Sobol1,71.55930863330263,0.09330582518541294,0.4109119335865893
311,0.1,996.0,Sobol2,72.13211496155776,0.09396737843887884,0.3861528847129002
312,0.1,272.0,Grid1296,78.07938700982348,0.09540788612128362,0.40913250996217576
313,0.1,272.0,Grid2401,100.54886803904571,0.11705467785429056,0.07250014319457443
314,0.1,272.0,Sobol1,71.47646651045973,0.09312976222597752,0.4102841829865169
315,0.1,272.0,Sobol2,71.91819036686104,0.09395108891094991,0.3983520802909193
316,0.1,759.0,Grid1296,78.0050320043207,0.095290285528288,0.4112155942988498
317,0.1,759.0,Grid2401,100.3507522528837,0.11679697058482781,0.08217272913606932
318,0.1,759.0,Sobol1,71.60360126280398,0.09332497468960727,0.40858988176506283
319,0.1,759.0,Sobol2,72.38795194047262,0.09434435478460196,0.38009049414061
320,0.1,390.0,Grid1296,78.64661783489258,0.09568805611768329,0.4025337396878301
321,0.1,390.0,Grid2401,100.33455960303571,0.11667426719895091,0.08080732787551714
322,0.1,390.0,Sobol1,71.41057128901548,0.09300873232863177,0.4149458404990791
323,0.1,390.0,Sobol2,71.81169872326332,0.09363055303446842,0.3942618983272186
324,0.1,930.0,Grid1296,78.20382404887359,0.09548177165510671,0.4073524908737425
325,0.1,930.0,Grid2401,100.5027480014232,0.11685972958147603,0.07921182064052756
326,0.1,930.0,Sobol1,71.28855652442367,0.09291337842038629,0.40823476861253893
327,0.1,930.0,Sobol2,72.10539245177065,0.09394129126005792,0.385281746706981
328,0.1,633.0,Grid1296,77.80185430718115,0.09545730156866472,0.41435965276214193
329,0.1,633.0,Grid2401,101.02711753802035,0.11746882324231468,0.06758688545112024
330,0.1,633.0,Sobol1,71.52502919462256,0.09314289667889647,0.40624242886595374
331,0.1,633.0,Sobol2,72.03755059904665,0.09395978700235395,0.39824986837513354
