,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
0,0.35,678.0,Grid1296,RBF,1.0,-,-,-,296.12973154319934,0.36518907363817843,-7.672847167111788
1,0.35,678.0,Grid1296,Matern,1.0,1.5,-,-,61.36870217343676,0.05610826284659973,0.6275297887001314
2,0.35,678.0,Grid1296,RQ,1.0,-,1.0,-,50.672595091295776,0.05848792429341144,0.7460524892236209
3,0.35,678.0,Grid1296,ESS,1.0,-,-,1.0,676.8177241251731,0.9940069149095759,-44.30447624311522
4,0.35,678.0,Grid2401,RBF,1.0,-,-,-,448.0795433666533,0.5908124334856607,-18.0571219839458
5,0.35,678.0,Grid2401,Matern,1.0,1.5,-,-,31.110013841033062,0.03579916189397857,0.9081355480605574
6,0.35,678.0,Grid2401,RQ,1.0,-,1.0,-,85.74411052121103,0.08818084863299926,0.30216029044015347
7,0.35,678.0,Grid2401,ESS,1.0,-,-,1.0,670.5556624466896,0.9910171262474582,-41.67924697254402
8,0.35,678.0,Sobol1,RBF,1.0,-,-,-,26.003542533217697,0.0214098752476104,0.9248254113132739
9,0.35,678.0,Sobol1,Matern,1.0,1.5,-,-,20.33271984650075,0.016619544887567648,0.9540382051549725
10,0.35,678.0,Sobol1,RQ,1.0,-,1.0,-,21.70187513456465,0.019103588322632998,0.9476398903862899
11,0.35,678.0,Sobol1,ESS,1.0,-,-,1.0,679.3152231704603,0.9961705838118233,-50.30370390733961
12,0.35,678.0,Sobol2,RBF,1.0,-,-,-,29.79796060517245,0.025164419260985303,0.899431730542373
13,0.35,678.0,Sobol2,Matern,1.0,1.5,-,-,20.89740502546222,0.017639103839892735,0.9505378928467341
14,0.35,678.0,Sobol2,RQ,1.0,-,1.0,-,22.340044177004398,0.019887451661850093,0.9434729984795017
15,0.35,678.0,Sobol1,ESS,1.0,-,-,1.0,676.8252899601057,0.9865727073036424,-50.88490784384298
16,0.35,147.0,Grid1296,RBF,1.0,-,-,-,311.41067782886853,0.386404054412286,-8.563202785172978
17,0.35,147.0,Grid1296,Matern,1.0,1.5,-,-,60.191014398046306,0.05600243649015188,0.6427274165362502
18,0.35,147.0,Grid1296,RQ,1.0,-,1.0,-,52.00020904969507,0.059763467573730134,0.7333469567987478
19,0.35,147.0,Grid1296,ESS,1.0,-,-,1.0,311.4105159346998,0.38640383584239646,-8.563192841863563
20,0.35,147.0,Grid2401,RBF,1.0,-,-,-,406.1008451426582,0.5297680129118175,-14.702871585529891
21,0.35,147.0,Grid2401,Matern,1.0,1.5,-,-,32.37215327978956,0.035518993161984494,0.900217479800759
22,0.35,147.0,Grid2401,RQ,1.0,-,1.0,-,85.26581616315062,0.08784825620159721,0.30775281324955783
23,0.35,147.0,Grid2401,ESS,1.0,-,-,1.0,406.10077564391986,0.5297679221180197,-14.702866210856659
24,0.35,147.0,Sobol1,RBF,1.0,-,-,-,28.125832525150926,0.021774338026031712,0.91189521224136
25,0.35,147.0,Sobol1,Matern,1.0,1.5,-,-,20.84059819892952,0.01686945178870293,0.9516263233080873
26,0.35,147.0,Sobol1,RQ,1.0,-,1.0,-,22.4210338685477,0.019561076817061096,0.9440113487132189
27,0.35,147.0,Sobol1,ESS,1.0,-,-,1.0,28.12578179989664,0.021774302234783518,0.9118955300370184
28,0.35,147.0,Sobol2,RBF,1.0,-,-,-,26.857297485113858,0.02266058704345419,0.9189720890151384
29,0.35,147.0,Sobol2,Matern,1.0,1.5,-,-,20.209603724322868,0.016926698615871726,0.954119766589633
30,0.35,147.0,Sobol2,RQ,1.0,-,1.0,-,21.61199090114664,0.019416337423030602,0.9475313880618703
31,0.35,147.0,Sobol1,ESS,1.0,-,-,1.0,26.857288951498138,0.022660579405087138,0.9189721405066145
32,0.35,561.0,Grid1296,RBF,1.0,-,-,-,317.223185764062,0.3941475703081408,-8.967826229781416
33,0.35,561.0,Grid1296,Matern,1.0,1.5,-,-,60.92746579494642,0.05555244366695044,0.6322972797320001
34,0.35,561.0,Grid1296,RQ,1.0,-,1.0,-,50.6608505796097,0.058608353375787785,0.7457765734400722
35,0.35,561.0,Grid1296,ESS,1.0,-,-,1.0,668.2511506237963,0.9737656612781608,-43.23337162949342
36,0.35,561.0,Grid2401,RBF,1.0,-,-,-,363.7229781066709,0.4738856924337429,-11.513753133732013
37,0.35,561.0,Grid2401,Matern,1.0,1.5,-,-,35.81816098600262,0.040343275820970595,0.8786463971504266
38,0.35,561.0,Grid2401,RQ,1.0,-,1.0,-,84.82175417074282,0.08675825724658147,0.3194491106760916
39,0.35,561.0,Grid2401,ESS,1.0,-,-,1.0,659.6747046385924,0.964919185711271,-40.16288151732993
40,0.35,561.0,Sobol1,RBF,1.0,-,-,-,26.58542899768672,0.02182047001920719,0.9222434952364943
41,0.35,561.0,Sobol1,Matern,1.0,1.5,-,-,20.387508711480244,0.016556945194312122,0.9542724741267962
42,0.35,561.0,Sobol1,RQ,1.0,-,1.0,-,22.131073203581483,0.019467738424879602,0.9461166815437831
43,0.35,561.0,Sobol1,ESS,1.0,-,-,1.0,679.066666813581,0.9952436235428627,-49.73109199289941
44,0.35,561.0,Sobol2,RBF,1.0,-,-,-,26.291262729315434,0.02159014654893629,0.9213696671849999
45,0.35,561.0,Sobol2,Matern,1.0,1.5,-,-,20.314099634740817,0.01679070572558791,0.9530579145045441
46,0.35,561.0,Sobol2,RQ,1.0,-,1.0,-,21.51126760022407,0.018576673364382637,0.9473620182067247
47,0.35,561.0,Sobol1,ESS,1.0,-,-,1.0,680.03883511608,0.9954675835051027,-51.605923998503506
48,0.35,237.0,Grid1296,RBF,1.0,-,-,-,678.9573689952488,0.9999788667980863,-44.44948773483286
49,0.35,237.0,Grid1296,Matern,1.0,1.5,-,-,60.06553693332279,0.05609724605586556,0.6442911198040144
50,0.35,237.0,Grid1296,RQ,1.0,-,1.0,-,52.766394461290616,0.06031162973598382,0.7254895892489288
51,0.35,237.0,Grid1296,ESS,1.0,-,-,1.0,296.27829326270404,0.3661316251500329,-7.654533204403082
52,0.35,237.0,Grid2401,RBF,1.0,-,-,-,674.4416172612148,0.9999006155446355,-41.935729680196374
53,0.35,237.0,Grid2401,Matern,1.0,1.5,-,-,31.140324515959126,0.03515734362779882,0.9084672745644784
54,0.35,237.0,Grid2401,RQ,1.0,-,1.0,-,87.22758476969773,0.08970601507746474,0.2818125350128907
55,0.35,237.0,Grid2401,ESS,1.0,-,-,1.0,468.1017057910006,0.6215665332531013,-19.682859091932762
56,0.35,237.0,Sobol1,RBF,1.0,-,-,-,680.7765711809693,0.9998341810653778,-49.77331954354144
57,0.35,237.0,Sobol1,Matern,1.0,1.5,-,-,20.38107222181177,0.016647336240480842,0.95449276885868
58,0.35,237.0,Sobol1,RQ,1.0,-,1.0,-,22.62659030795071,0.019909857466813577,0.9439126937043739
59,0.35,237.0,Sobol1,ESS,1.0,-,-,1.0,24.569081650543065,0.02045177306468255,0.9338691350134257
60,0.35,237.0,Sobol2,RBF,1.0,-,-,-,29.261782311807405,0.02381410004421227,0.9039489966700792
61,0.35,237.0,Sobol2,Matern,1.0,1.5,-,-,20.517192318404227,0.017192721146034415,0.9527788875392993
62,0.35,237.0,Sobol2,RQ,1.0,-,1.0,-,21.461025005245595,0.019238945558990323,0.9483344238657871
63,0.35,237.0,Sobol1,ESS,1.0,-,-,1.0,29.261748224326634,0.023814072060031645,0.903949220452403
64,0.35,588.0,Grid1296,RBF,1.0,-,-,-,297.7293971502602,0.36810621602905647,-7.8065686842898785
65,0.35,588.0,Grid1296,Matern,1.0,1.5,-,-,61.891148745513526,0.05565074667454493,0.6194424191388737
66,0.35,588.0,Grid1296,RQ,1.0,-,1.0,-,49.9065300692637,0.05766954440321101,0.752555365844012
67,0.35,588.0,Grid1296,ESS,1.0,-,-,1.0,65.84582539775754,0.053260464033822195,0.5692554585667754
68,0.35,588.0,Grid2401,RBF,1.0,-,-,-,361.6613169269103,0.47122604947654356,-11.389451970015342
69,0.35,588.0,Grid2401,Matern,1.0,1.5,-,-,36.456108422502446,0.03976622010208763,0.8741107656992342
70,0.35,588.0,Grid2401,RQ,1.0,-,1.0,-,85.64837167619629,0.0880656527279504,0.30515778023700646
71,0.35,588.0,Grid2401,ESS,1.0,-,-,1.0,322.5752809639535,0.20084146412992912,-8.856214491924826
72,0.35,588.0,Sobol1,RBF,1.0,-,-,-,24.0106867733134,0.01967329144524773,0.9361835462992657
73,0.35,588.0,Sobol1,Matern,1.0,1.5,-,-,20.2561549600501,0.016570430579429425,0.9545810046553685
74,0.35,588.0,Sobol1,RQ,1.0,-,1.0,-,21.989296495098333,0.019144985587859674,0.9464762945006298
75,0.35,588.0,Sobol1,ESS,1.0,-,-,1.0,679.6630295459677,0.9954589236569414,-50.13412115336739
76,0.35,588.0,Sobol2,RBF,1.0,-,-,-,24.153825178380142,0.020455123908044697,0.9329626962544411
77,0.35,588.0,Sobol2,Matern,1.0,1.5,-,-,20.32140206130165,0.01682424974909528,0.9525482713429257
78,0.35,588.0,Sobol2,RQ,1.0,-,1.0,-,21.50263238114072,0.01902140462127835,0.9468714502070662
79,0.35,588.0,Sobol1,ESS,1.0,-,-,1.0,677.9450317458275,0.9901563341065946,-51.812127866869815
80,0.35,951.0,Grid1296,RBF,1.0,-,-,-,290.63695730559886,0.3580476593219481,-7.305078043406304
81,0.35,951.0,Grid1296,Matern,1.0,1.5,-,-,58.731722433179506,0.05438658027015609,0.6608533615888326
82,0.35,951.0,Grid1296,RQ,1.0,-,1.0,-,51.23808285319321,0.05852813208887144,0.7418763576840293
83,0.35,951.0,Grid1296,ESS,1.0,-,-,1.0,679.5193289423909,0.9999999602555926,-44.39893562509812
84,0.35,951.0,Grid2401,RBF,1.0,-,-,-,428.2633719189836,0.5621279054478505,-16.290675500124667
85,0.35,951.0,Grid2401,Matern,1.0,1.5,-,-,32.13916881746107,0.03610258476400014,0.9026223302013652
86,0.35,951.0,Grid2401,RQ,1.0,-,1.0,-,85.19432570653842,0.08693782481614422,0.31575530967362475
87,0.35,951.0,Grid2401,ESS,1.0,-,-,1.0,674.6012047702732,0.9999999999995903,-41.90267002166278
88,0.35,951.0,Sobol1,RBF,1.0,-,-,-,25.054433849146193,0.021302149019301882,0.9321155874490827
89,0.35,951.0,Sobol1,Matern,1.0,1.5,-,-,19.971751043902543,0.01645814570931068,0.9568646660546546
90,0.35,951.0,Sobol1,RQ,1.0,-,1.0,-,22.053551480847602,0.019538243951283063,0.9474033658904555
91,0.35,951.0,Sobol1,ESS,1.0,-,-,1.0,677.0146161081993,0.9893041068032091,-48.567494455862004
