,ratio,rndint,dataset,kernel,length_scale,nu,alpha,periodicity,rmse,mape,r2
0,0.2,678.0,Grid1296,RBF,1.0,-,-,-,367.0205411743064,0.4667515940893636,-12.19448602109741
1,0.2,678.0,Grid1296,Matern,1.0,1.5,-,-,64.37601071653312,0.0584013436928867,0.5940618612950909
2,0.2,678.0,Grid1296,RQ,1.0,-,1.0,-,49.62936707174258,0.0577045644473788,0.7587378419986723
3,0.2,678.0,Grid1296,ESS,1.0,-,-,1.0,676.3092052856829,0.9929008979384584,-43.8025086333715
4,0.2,678.0,Grid2401,RBF,1.0,-,-,-,483.6560794262976,0.6510451843776569,-20.705894016425585
5,0.2,678.0,Grid2401,Matern,1.0,1.5,-,-,33.35292025828824,0.0388860009987476,0.8967780388320831
6,0.2,678.0,Grid2401,RQ,1.0,-,1.0,-,86.83073961518959,0.0905816854791949,0.3003974616379844
7,0.2,678.0,Grid2401,ESS,1.0,-,-,1.0,483.6560574440894,0.6510451527656919,-20.705892043356336
8,0.2,678.0,Sobol1,RBF,1.0,-,-,-,25.6690171997031,0.0203189469683366,0.9263395309160788
9,0.2,678.0,Sobol1,Matern,1.0,1.5,-,-,20.205370056887144,0.0162195952029068,0.9543595817172918
10,0.2,678.0,Sobol1,RQ,1.0,-,1.0,-,21.06438660830703,0.0179502689450353,0.95039635024258
11,0.2,678.0,Sobol1,ESS,1.0,-,-,1.0,676.5712175584302,0.98228708448538,-50.173254119971865
12,0.2,678.0,Sobol2,RBF,1.0,-,-,-,30.947300517402358,0.0247444778963131,0.8876266882761873
13,0.2,678.0,Sobol2,Matern,1.0,1.5,-,-,20.851140517107023,0.0169807917381513,0.9489874227239432
14,0.2,678.0,Sobol2,RQ,1.0,-,1.0,-,21.05033705625777,0.0179410606796835,0.9480080933924144
15,0.2,678.0,Sobol2,ESS,1.0,-,-,1.0,675.5936984113814,0.9828243051983628,-52.55361791045853
16,0.2,147.0,Grid1296,RBF,1.0,-,-,-,379.0343506252864,0.4834068146524908,-12.972814372309294
17,0.2,147.0,Grid1296,Matern,1.0,1.5,-,-,63.66019841833307,0.058465574862851,0.6058489167200338
18,0.2,147.0,Grid1296,RQ,1.0,-,1.0,-,51.247322400664544,0.0594996787563732,0.7445716448024642
19,0.2,147.0,Grid1296,ESS,1.0,-,-,1.0,379.0342247349399,0.4834066438412079,-12.97280509060621
20,0.2,147.0,Grid2401,RBF,1.0,-,-,-,672.840277052085,1.0,-41.04665169814355
21,0.2,147.0,Grid2401,Matern,1.0,1.5,-,-,35.16149488558406,0.040479845649747,0.8851735027757637
22,0.2,147.0,Grid2401,RQ,1.0,-,1.0,-,87.08993944849531,0.0910293690569052,0.2955609340120989
23,0.2,147.0,Grid2401,ESS,1.0,-,-,1.0,491.4483145156799,0.6630511870726007,-21.43174995465637
24,0.2,147.0,Sobol1,RBF,1.0,-,-,-,27.553489939252614,0.0213072874517895,0.9138572407183234
25,0.2,147.0,Sobol1,Matern,1.0,1.5,-,-,20.704483762098697,0.0163787090508684,0.9513599108395928
26,0.2,147.0,Sobol1,RQ,1.0,-,1.0,-,21.83022675194872,0.0184146339314281,0.9459268035397354
27,0.2,147.0,Sobol1,ESS,1.0,-,-,1.0,27.553478354641427,0.0213072798017579,0.9138573131541684
28,0.2,147.0,Sobol2,RBF,1.0,-,-,-,27.00541491671806,0.0218837931121268,0.9153220846543676
29,0.2,147.0,Sobol2,Matern,1.0,1.5,-,-,19.811880959729734,0.0161229116410254,0.9544257144705688
30,0.2,147.0,Sobol2,RQ,1.0,-,1.0,-,20.365966069749472,0.017555398331357,0.9518408868268954
31,0.2,147.0,Sobol2,ESS,1.0,-,-,1.0,27.00540586396237,0.02188378554278,0.9153221414258228
