,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.7,678.0,Grid1296,0.001,527.0,99.3238071642424,0.10685724608208004,-0.009986101507415723
1,0.7,147.0,Grid1296,0.001,651.0,99.72086454692639,0.10726825147867203,-0.020138282576401368
2,0.7,561.0,Grid1296,0.001,966.0,100.61836604068154,0.10826938756202396,-0.039409953513101274
3,0.7,237.0,Grid1296,0.001,635.0,101.23188299881785,0.10939850579751165,-0.051811684726478485
4,0.7,588.0,Grid1296,0.001,700.0,99.21052230031867,0.1069185996526166,-0.015228410630243477
5,0.7,951.0,Grid1296,0.001,662.0,99.07392040051911,0.10670234655079089,-0.0024729823560658676
6,0.7,490.0,Grid1296,0.001,760.0,99.91757041529605,0.10749366408900211,-0.025133186657305743
7,0.7,395.0,Grid1296,0.001,522.0,100.05514847604852,0.10758856487901587,-0.022576618510353873
8,0.7,877.0,Grid1296,0.001,797.0,99.34897452906559,0.10694075218941036,-0.015462784603117166
9,0.7,297.0,Grid1296,0.001,997.0,108.14211353502776,0.13848323688695305,-0.20803011187454898
10,0.7,721.0,Grid1296,0.001,628.0,100.6429897107576,0.10849346024425406,-0.04354121105861954
11,0.7,711.0,Grid1296,0.001,687.0,100.37573844508121,0.10815826058387756,-0.029971508783597837
12,0.7,985.0,Grid1296,0.001,581.0,98.87820314106189,0.10645736753940582,-0.007029994617426553
13,0.7,171.0,Grid1296,0.001,684.0,99.77827975624486,0.10769256596502505,-0.013213585763955675
14,0.7,75.0,Grid1296,0.001,990.0,99.48931121826172,0.10733714660531596,-0.012253227700349131
15,0.7,16.0,Grid1296,0.001,991.0,105.76402403178967,0.13415124071271797,-0.1586905213243594
16,0.7,669.0,Grid1296,0.001,796.0,98.67745851215564,0.10675354733278877,0.0027144505958886012
17,0.7,530.0,Grid1296,0.001,510.0,98.14904263145046,0.10618102276011517,0.01347201262774693
18,0.7,999.0,Grid1296,0.001,852.0,100.69275424354954,0.10841735530840724,-0.03927906724023206
19,0.7,794.0,Grid1296,0.001,936.0,100.92453284012645,0.10874729172179573,-0.040411190103772476
20,0.7,936.0,Grid1296,0.001,991.0,99.59747073524876,0.10785399494986785,-0.018056037928702286
21,0.7,111.0,Grid1296,0.001,572.0,99.4532241821289,0.1074208048613448,-0.01407282790132575
22,0.7,816.0,Grid1296,0.001,978.0,100.31256505062706,0.10780144992627595,-0.030918630650752777
23,0.7,968.0,Grid1296,0.001,572.0,100.32020368074116,0.10799758920544072,-0.03548722514665104
24,0.7,48.0,Grid1296,0.001,633.0,99.70468099493729,0.10730304686646712,-0.01776636400449652
25,0.7,986.0,Grid1296,0.001,789.0,100.0563406693308,0.10730791797763423,-0.03187752005398182
26,0.7,829.0,Grid1296,0.001,677.0,99.35273180509868,0.107993746274396,-0.014881998468934454
27,0.7,996.0,Grid1296,0.001,1000.0,99.69489087556538,0.10870342780100672,-0.011584997504240843
28,0.7,272.0,Grid1296,0.001,676.0,98.90244493986431,0.10648415982723236,0.000613794924355105
29,0.7,759.0,Grid1296,0.001,712.0,101.44528198242188,0.1094671381931556,-0.05250539144799987
30,0.7,390.0,Grid1296,0.001,878.0,99.94554057874177,0.10740774399355839,-0.022467693193027636
31,0.7,930.0,Grid1296,0.001,999.0,100.09371747468647,0.108228557988217,-0.02548010699212631
32,0.7,633.0,Grid1296,0.001,660.0,98.37270917390522,0.10570123556413148,0.009792871192709154
33,0.7,928.0,Grid1296,0.001,997.0,109.12100139417146,0.13975537607544347,-0.21708711067624054
34,0.7,854.0,Grid1296,0.001,581.0,99.59134433144017,0.10730317391847309,-0.01496259768041304
35,0.7,554.0,Grid1296,0.001,587.0,99.10240896124589,0.1067717969417572,-0.008591001690327017
36,0.7,562.0,Grid1296,0.001,582.0,98.46759033203125,0.10638422087619179,0.00369698991480159
37,0.7,78.0,Grid1296,0.001,505.0,98.53946404708059,0.10646445225728185,0.0038134588600800983
38,0.7,222.0,Grid1296,0.001,509.0,98.34404553865132,0.10579713198699449,0.007771878007480593
39,0.7,294.0,Grid1296,0.001,694.0,101.23370963648746,0.10990129293579805,-0.05022327712939037
40,0.7,725.0,Grid1296,0.001,745.0,100.51848281057258,0.1091085390040749,-0.03898093598506256
41,0.7,582.0,Grid1296,0.001,758.0,100.10022936369243,0.10770927055885918,-0.026634816218016694
42,0.7,731.0,Grid1296,0.001,998.0,105.77078006142064,0.13350134303695277,-0.1450254436690935
43,0.7,249.0,Grid1296,0.001,999.0,107.93498149671052,0.13819128902334915,-0.19543089506112565
44,0.7,791.0,Grid1296,0.001,502.0,100.18946637605366,0.10883423764454692,-0.035514484241765926
45,0.7,35.0,Grid1296,0.001,641.0,99.19717206453022,0.1068811647986111,-0.0220294182316419
46,0.7,180.0,Grid1296,0.001,596.0,98.8897371794048,0.10685687865081586,-0.0029753181684341982
47,0.7,510.0,Grid1296,0.001,554.0,97.51237327174137,0.10562720698745627,0.025414994036833696
48,0.7,593.0,Grid1296,0.001,534.0,96.19897019235711,0.10424566700270302,0.05115331999138089
49,0.7,634.0,Grid1296,0.001,745.0,98.41325820119758,0.10632295671262239,0.0031994750317288225
