,diff,rmse,r2
12638,9.85345382198625,36.834670791116885,0.8571622063996542
12639,707.0,679.3541372679177,-47.58721395523
12640,25.888007006130465,103.93080309642568,-0.0999146904728602
12641,-5.48974866607648,58.00320399412534,0.6574102193775151
12642,-14.681863111365146,64.36150002806589,0.5781842896424501
12643,25.887995384676746,103.93078950768854,-0.0999144028497462
12644,123.89204910217109,129.6734004240808,-0.6953380022164402
12645,33.97561632483587,50.82757585060746,0.7395326494636991
12646,-14.805375625645866,82.89030405645309,0.3072732418433171
12647,123.89202923969948,129.67336692579843,-0.6953371263096839
12648,-29.190557452292524,31.65264662101106,0.8945715713355158
12649,-17.15679442002397,25.30041113644035,0.9326414340545862
12650,-11.969203823567682,32.32544966537215,0.8900420017442057
12651,-29.19055365730219,31.652641567033264,0.8945716050030256
12652,-28.698672881496805,36.21608831758205,0.8614651103737823
12653,0.3295166925940975,28.64016859441947,0.9133622385890392
12654,43.030527867190585,35.69014958091492,0.8654595679036439
12655,-28.698668574156727,36.21608202430807,0.8614651585202266
12656,-6.410321712644873,96.80302490594602,0.0417975407875614
12657,-14.16766459258622,53.710579596054885,0.7050155640558398
12658,-0.7693849996690005,59.692682182308,0.6356476193565425
12659,707.0,679.2778698178586,-46.181783806692536
12660,40.31928546109248,204.44860757836005,-3.214193051944352
12661,-12.551303683507854,51.12296073250638,0.7365015239911656
12662,-44.47899561964732,83.46229374371947,0.2976934084378538
12663,707.0,678.2149504104445,-45.374669830435145
12664,6.219764869007122,36.01405736890349,0.864152714877042
12665,8.013469073791953,26.289037054740277,0.9276137269689284
12666,15.889094462808316,32.73931020866428,0.8877346048472475
12667,707.0,679.4274258967034,-47.34961351421784
12668,-26.9410964303745,40.051806372437945,0.8304597838669133
12669,-14.074870024172697,29.09978078333634,0.9105031084849932
12670,12.940053153154622,38.435345731543926,0.8438686551586926
12671,-21.88228320389726,32.80536377152475,0.8862586882810177
12672,-20.764046577813588,99.52176962138928,-0.0150943011028528
12673,-23.409178015566116,55.56468020143136,0.6835771423082384
12674,-17.979247061770707,57.32045835712078,0.6632640228734161
12675,-22.5029028555532,97.10290674104932,0.033649509863565
12676,195.35615359346008,84.05336609810558,0.2880106572134852
12677,-1.4422232244514817,51.47770130941879,0.7329444773115035
12678,-54.56502779465154,83.00029377185287,0.3057393807292492
12679,183.73779132103527,77.90347701774134,0.3883866509891145
12680,13.152291538106963,30.23769193787273,0.903751371906857
12681,3.335178809993294,25.870600479966143,0.9295452480790616
12682,29.584793783102896,35.71797043863175,0.8657016061770927
12683,13.610552804376994,31.4539942788732,0.8958524930132998
12684,23.793965822427023,39.07804199392134,0.8379989076202694
12685,22.06043870681333,28.801269501891557,0.9120014300595584
12686,47.296701602693474,35.42821019598213,0.8668470545338887
12687,28.965678729773344,42.46024865042482,0.80874296502548
12688,-4.208425065937263,97.5867188461349,0.0311029661539068
12689,-0.6612783403759295,54.33485147584256,0.6996323457360112
12690,-1.144135859765356,62.98059037133585,0.5964385729634916
12691,-4.208883686169429,97.5861182319937,0.0311148926020135
12692,23.666440176537435,77.53608785525219,0.394411868214038
12693,23.262973306047115,56.54334129644876,0.6779431630031221
12694,-0.4599679531384026,82.44921471968266,0.315233298626405
12695,23.666185920804537,77.53536387150943,0.3944231773715523
12696,-0.0370865104350741,43.670118454127696,0.7972966690400297
12697,5.752431683204122,33.270317800950544,0.8823461768451312
12698,21.778871577626887,38.35986449093632,0.8435965696242761
12699,-0.0372014304821277,43.6695901186833,0.7973015737533851
12700,38.56320064934744,30.472563878960116,0.9017879819201092
12701,36.69284580705755,26.775426427298285,0.9241737750063448
12702,67.96102910476043,35.52012589859099,0.8665570495513955
12703,30.93409084709242,28.207386493548167,0.915846469381773
12704,707.0,679.2621351847504,-45.93916041125418
12705,-13.092029095965245,54.73514087993291,0.6952154235866574
12706,-14.809632650824824,66.27136304989473,0.5532008774080844
12707,-2.6004090455980986,97.50091211366644,0.0328855720957975
12708,707.0,678.3956835068482,-45.151328828647785
12709,-54.65807287930557,53.332983674843085,0.7147603994686865
12710,-45.74910796763811,85.52170204153173,0.266549634427458
12711,-56.88027554920711,55.522169262875664,0.6908630557037758
12712,707.0,680.4418770198489,-47.81355253126128
12713,707.0,680.4379894858077,-47.81299476487019
12714,32.0122402110685,32.05536245910866,0.8916672589827476
12715,-10.316745860110132,35.79320286356643,0.8649298221892395
12716,707.0,680.2968871879932,-47.7093173455586
12717,4.362744743198391,27.50433454706701,0.9203808825538036
12718,5.817965204493703,35.98444616912429,0.8637160472327816
12719,5.145331546575335,39.035179695680725,0.8396284076544289
12720,-8.592205504982076,100.11377464798692,-0.0280524123519856
12721,-14.022521887558923,54.071681512646194,0.7001063051125613
12722,-6.785617616882178,57.89770830461733,0.656164802627806
12723,707.0,675.5889012920848,-45.81581591825909
12724,-38.24970117468729,44.28645269907098,0.8018352677274302
12725,-49.857911095527015,55.77361300276792,0.6857016272950928
12726,-61.53818185171929,81.16890493855936,0.3343223920891276
12727,707.0,673.094782487746,-44.77591382423508
12728,2.488563918807813,27.38595733868138,0.9216778765546688
12729,-3.7101168360013617,24.849093154533566,0.9355163388489504
12730,6.615457986852675,31.996546271688626,0.893085944300081
12731,707.0,675.9288708947684,-46.7123263669896
