,ratio,rndint,dataset,#trees,rmse,mape,r2
0,0.05,678.0,Grid1296,10.0,39.63082860427796,0.043895583066591824,0.8488352114783124
1,0.05,678.0,Grid2401,10.0,83.02537286878469,0.08867754451866071,0.37295259537629655
2,0.05,678.0,Sobol1,10.0,21.782282005651492,0.017943616954778186,0.9451091500223079
3,0.05,678.0,Sobol2,10.0,18.573208392121387,0.015993081316183252,0.9589161795448347
4,0.05,678.0,Grid1296,100.0,39.781317184412245,0.044056944976879675,0.8476850076433122
5,0.05,678.0,Grid2401,100.0,83.68045402901073,0.0894001157823424,0.36301858533082065
6,0.05,678.0,Sobol1,100.0,21.290783242185313,0.017224249186110558,0.947558334010981
7,0.05,678.0,Sobol2,100.0,17.95463846697472,0.01522926065981812,0.9616071556019763
8,0.05,678.0,Grid1296,250.0,39.76368572356389,0.044052108087217594,0.8478199926506869
9,0.05,678.0,Grid2401,250.0,83.55476439760149,0.08926154090107447,0.3649306646296455
10,0.05,678.0,Sobol1,250.0,21.316200098452356,0.017252154735107304,0.947433049949937
11,0.05,678.0,Sobol2,250.0,18.125336774550004,0.01521784047074962,0.9608736686280663
12,0.05,678.0,Grid1296,500.0,39.694605663576006,0.04399466252262696,0.8483482873626044
13,0.05,678.0,Grid2401,500.0,83.55050080218149,0.08927520322227321,0.3649954750482032
14,0.05,678.0,Sobol1,500.0,21.239767927898676,0.017179487709092674,0.9478093461823524
15,0.05,678.0,Sobol2,500.0,18.138148366373127,0.015203031670979226,0.9608183374912511
16,0.05,678.0,Grid1296,750.0,39.71164179657055,0.044006836948725675,0.8482180876486591
17,0.05,678.0,Grid2401,750.0,83.49980265024692,0.08922360556236365,0.36576587829193086
18,0.05,678.0,Sobol1,750.0,21.220591865801094,0.01717613883760402,0.9479035430150949
19,0.05,678.0,Sobol2,750.0,18.11845405832502,0.015153851608103584,0.9609033777925869
20,0.05,678.0,Grid1296,1000.0,39.72077663334983,0.04401486182819345,0.8481482510767763
21,0.05,678.0,Grid2401,1000.0,83.50012123376352,0.08921671582961942,0.36576103859373055
22,0.05,678.0,Sobol1,1000.0,21.204542255136626,0.01716994180281499,0.9479823166577668
23,0.05,678.0,Sobol2,1000.0,18.0728848149615,0.015136580861393441,0.9610997922388176
24,0.05,147.0,Grid1296,10.0,39.47143089046365,0.0437999800332406,0.8500396564110613
25,0.05,147.0,Grid2401,10.0,83.00616565894397,0.08853210753962977,0.3786422934252327
26,0.05,147.0,Sobol1,10.0,21.732169094435882,0.018026985663576283,0.944883267086277
27,0.05,147.0,Sobol2,10.0,18.680656495429314,0.015648179887936466,0.9583262157292871
28,0.05,147.0,Grid1296,100.0,39.510491289844374,0.04385230062591478,0.8497427120623604
29,0.05,147.0,Grid2401,100.0,83.02887800184489,0.08868867196161005,0.378302212181144
30,0.05,147.0,Sobol1,100.0,21.43983209686392,0.01739371670262736,0.9463561332257734
31,0.05,147.0,Sobol2,100.0,17.7126434445992,0.014858390736965058,0.9625333010462732
32,0.05,147.0,Grid1296,250.0,39.58035554429383,0.04392446891065908,0.8492108586617074
33,0.05,147.0,Grid2401,250.0,83.03082089454765,0.08871673471320794,0.3782731161303048
34,0.05,147.0,Sobol1,250.0,21.31395731501936,0.017339338119094223,0.9469841780777009
35,0.05,147.0,Sobol2,250.0,17.89108037695376,0.014874202986261244,0.9617746206857241
36,0.05,147.0,Grid1296,500.0,39.617899229393196,0.04395739932945629,0.84892466290129
37,0.05,147.0,Grid2401,500.0,83.06759074856663,0.08876106061546742,0.3777223358677503
38,0.05,147.0,Sobol1,500.0,21.287742362182946,0.017339844736226614,0.9471145107567879
39,0.05,147.0,Sobol2,500.0,17.850685257838826,0.014866561109402673,0.9619470390679496
40,0.05,147.0,Grid1296,750.0,39.64699486121949,0.04397785075779989,0.8487026800823277
41,0.05,147.0,Grid2401,750.0,83.04295957839416,0.08874209675743658,0.37809131622363323
42,0.05,147.0,Sobol1,750.0,21.235776180166866,0.017304082775862952,0.9473723964907256
43,0.05,147.0,Sobol2,750.0,17.873575844979886,0.014863160693610976,0.9618493830846402
44,0.05,147.0,Grid1296,1000.0,39.64578654903711,0.043975584593135435,0.848711902047809
45,0.05,147.0,Grid2401,1000.0,83.0801977499638,0.08877508512121617,0.3775334378721641
46,0.05,147.0,Sobol1,1000.0,21.222080763313393,0.017273411731461928,0.9474402559883934
47,0.05,147.0,Sobol2,1000.0,17.867618553901224,0.014860115454899585,0.9618748101683217
48,0.05,561.0,Grid1296,10.0,39.49091019228982,0.04379865678396687,0.849870479992092
49,0.05,561.0,Grid2401,10.0,82.83522394191678,0.0884574900845052,0.3763848803382279
50,0.05,561.0,Sobol1,10.0,21.723302855341178,0.01798957845498791,0.9452076613590822
51,0.05,561.0,Sobol2,10.0,19.439450033692957,0.0164868939796208,0.9548586303890458
52,0.05,561.0,Grid1296,100.0,39.58828816641885,0.043876518488322816,0.8491291786228454
53,0.05,561.0,Grid2401,100.0,82.90940410454542,0.08854810106248104,0.37526746718982096
54,0.05,561.0,Sobol1,100.0,21.30039165010026,0.017360574257813562,0.9473202990162904
55,0.05,561.0,Sobol2,100.0,18.09739681783327,0.015164483315512216,0.9608763827108819
56,0.05,561.0,Grid1296,250.0,39.62955401126338,0.04391170518969966,0.8488144867273077
57,0.05,561.0,Grid2401,250.0,82.94759616964632,0.08857530932021411,0.3746917708303076
