,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.55,678.0,Grid2401,0.001,995.0,123.98838901519775,0.16448000632226467,-0.5472144309981157
1,0.55,147.0,Grid2401,0.001,948.0,124.52266120910645,0.16609843634068966,-0.5472278931458934
2,0.55,561.0,Grid2401,0.001,993.0,123.57727241516113,0.16475345566868782,-0.5270208676470491
3,0.55,237.0,Grid2401,0.001,981.0,123.16498374938965,0.16420999728143215,-0.5263031543074015
4,0.55,588.0,Grid2401,0.001,980.0,123.73626327514648,0.16489258781075478,-0.5066113281001535
5,0.55,951.0,Grid2401,0.001,942.0,124.48281478881836,0.16610114090144634,-0.5474478426841833
6,0.55,490.0,Grid2401,0.001,995.0,124.11724185943604,0.16564253345131874,-0.5584114390986928
7,0.55,395.0,Grid2401,0.001,966.0,126.17750549316406,0.1683441326022148,-0.6093984962238502
8,0.55,877.0,Grid2401,0.001,910.0,123.87034034729004,0.16589920222759247,-0.5367685833213067
9,0.55,297.0,Grid2401,0.001,920.0,123.332839012146,0.16488724946975708,-0.5255184793453398
10,0.55,721.0,Grid2401,0.001,909.0,122.08339786529541,0.16374212875962257,-0.4868893058693017
11,0.55,711.0,Grid2401,0.001,993.0,123.75553035736084,0.16446305438876152,-0.5226016187791513
12,0.55,985.0,Grid2401,0.001,997.0,126.16572093963623,0.16804060526192188,-0.6054150856722947
13,0.55,171.0,Grid2401,0.001,948.0,123.64817810058594,0.1642175167798996,-0.5039676079575801
14,0.55,75.0,Grid2401,0.001,933.0,124.38445568084717,0.16579175554215908,-0.5426032305986901
15,0.55,16.0,Grid2401,0.001,995.0,124.02907657623291,0.16627448797225952,-0.5327323267644735
16,0.55,669.0,Grid2401,0.001,944.0,123.5297966003418,0.16490556858479977,-0.5388163378216231
17,0.55,530.0,Grid2401,0.001,976.0,123.35958003997803,0.163903271779418,-0.5548398963162819
18,0.55,999.0,Grid2401,0.001,929.0,124.74685096740723,0.16691928915679455,-0.5737842668880788
19,0.55,794.0,Grid2401,0.001,953.0,123.27565288543701,0.1644043568521738,-0.5064594392713051
20,0.55,936.0,Grid2401,0.001,902.0,124.4494857788086,0.1669249590486288,-0.5783792560981138
21,0.55,111.0,Grid2401,0.001,975.0,123.33157253265381,0.16363715939223766,-0.5417231973732249
22,0.55,816.0,Grid2401,0.001,938.0,123.87367057800293,0.16547307558357716,-0.5266386956206189
23,0.55,968.0,Grid2401,0.001,978.0,124.31451988220215,0.16631454788148403,-0.522937694100472
24,0.55,48.0,Grid2401,0.001,983.0,123.99499797821045,0.16546828672289848,-0.5228251466864913
25,0.55,986.0,Grid2401,0.001,990.0,124.82176780700684,0.16699620336294174,-0.5561152107605487
26,0.55,829.0,Grid2401,0.001,985.0,124.90356826782227,0.1670571956783533,-0.5869298430201135
27,0.55,996.0,Grid2401,0.001,980.0,125.03515243530273,0.16726953350007534,-0.5586884364308023
28,0.55,272.0,Grid2401,0.001,936.0,123.19806385040283,0.16477580554783344,-0.5163798950696146
29,0.55,759.0,Grid2401,0.001,912.0,122.48095798492432,0.16362914256751537,-0.4937060389777807
30,0.55,390.0,Grid2401,0.001,976.0,124.9538459777832,0.1662737838923931,-0.5754481721863007
31,0.55,930.0,Grid2401,0.001,974.0,123.24294662475586,0.1641042549163103,-0.5000484777074811
32,0.55,633.0,Grid2401,0.001,997.0,124.87929153442383,0.16725174710154533,-0.5692320016426784
33,0.55,928.0,Grid2401,0.001,965.0,123.87626075744629,0.1651915106922388,-0.5392601660302805
34,0.55,854.0,Grid2401,0.001,974.0,124.80493640899658,0.16651614010334015,-0.5467826651245421
35,0.55,554.0,Grid2401,0.001,994.0,124.13298606872559,0.16541924141347408,-0.5483784205140423
36,0.55,562.0,Grid2401,0.001,943.0,123.25758838653564,0.16458388604223728,-0.5373213842038688
37,0.55,78.0,Grid2401,0.001,902.0,122.98023509979248,0.16444778628647327,-0.5421079076709849
38,0.55,222.0,Grid2401,0.001,979.0,123.9303846359253,0.16474579088389874,-0.5132387544751923
39,0.55,294.0,Grid2401,0.001,922.0,122.25525951385498,0.16362730972468853,-0.49726582297225286
40,0.55,725.0,Grid2401,0.001,937.0,123.12343692779541,0.16488929092884064,-0.48984924277851183
41,0.55,582.0,Grid2401,0.001,960.0,124.21760559082031,0.165574686601758,-0.5361248793799473
42,0.55,731.0,Grid2401,0.001,999.0,124.20297050476074,0.1657798234373331,-0.5486572894071748
43,0.55,249.0,Grid2401,0.001,924.0,123.91677188873291,0.165610047057271,-0.5315740674102497
44,0.55,791.0,Grid2401,0.001,920.0,123.53304767608643,0.16523294150829315,-0.5323734627882784
45,0.55,35.0,Grid2401,0.001,957.0,123.93035125732422,0.1662381999194622,-0.5439699951330185
46,0.55,180.0,Grid2401,0.001,967.0,123.2140760421753,0.16439910605549812,-0.5204696433210501
47,0.55,510.0,Grid2401,0.001,987.0,124.46432209014893,0.16604913398623466,-0.5515274096715419
48,0.55,593.0,Grid2401,0.001,1000.0,124.68272686004639,0.1656190324574709,-0.5502304064189943
49,0.55,634.0,Grid2401,0.001,925.0,124.16600513458252,0.16565881483256817,-0.5650412593124982
