,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.95,678.0,Grid2401,0.001,1000.0,105.18577812813423,0.1326549567684934,-0.1835768071308185
1,0.95,147.0,Grid2401,0.001,537.0,97.08445198471482,0.1112060985855154,0.004416933410733338
2,0.95,561.0,Grid2401,0.001,491.0,98.02813803183066,0.11453314880664284,-0.007722589036870642
3,0.95,237.0,Grid2401,0.001,549.0,104.0766473203092,0.12097963821646329,-0.14621238151164406
4,0.95,588.0,Grid2401,0.001,630.0,101.72494713035789,0.1134435040121143,-0.08800461561141117
5,0.95,951.0,Grid2401,0.001,352.0,101.11713368183858,0.11853778009881845,-0.08075356298305794
6,0.95,490.0,Grid2401,0.001,771.0,101.44716917501914,0.1153736395912396,-0.0846111963551448
7,0.95,395.0,Grid2401,0.001,533.0,108.27043729215055,0.12256153360814662,-0.23149252405262274
8,0.95,877.0,Grid2401,0.001,508.0,106.68696439588392,0.12707784550415502,-0.20501640500467275
9,0.95,297.0,Grid2401,0.001,518.0,103.19978239729598,0.11604667963409745,-0.12416793152711386
10,0.95,721.0,Grid2401,0.001,445.0,105.14018651601431,0.12223324240059466,-0.17413349909035156
11,0.95,711.0,Grid2401,0.001,419.0,105.29811013711465,0.12163129881829829,-0.17536125701585942
12,0.95,985.0,Grid2401,0.001,454.0,99.46370712486473,0.11436401297514504,-0.04163613001065974
13,0.95,171.0,Grid2401,0.001,513.0,97.93949977771656,0.10863386265732147,-0.009017665905105837
14,0.95,75.0,Grid2401,0.001,482.0,104.14811139493375,0.120830566798513,-0.14678445419660738
15,0.95,16.0,Grid2401,0.001,560.0,100.1268500250739,0.11494459775654045,-0.0646044768892276
16,0.95,669.0,Grid2401,0.001,655.0,102.81948852539062,0.11573707050568349,-0.11060368263874004
17,0.95,530.0,Grid2401,0.001,550.0,108.26871882258234,0.127509234523451,-0.24287113416894693
18,0.95,999.0,Grid2401,0.001,600.0,101.26152440663931,0.11932267943346822,-0.08279805778588001
19,0.95,794.0,Grid2401,0.001,476.0,100.19291439571896,0.11414728303616112,-0.06074040429819035
20,0.95,936.0,Grid2401,0.001,387.0,102.7790807775549,0.12067327477239273,-0.11734585082836035
21,0.95,111.0,Grid2401,0.001,366.0,100.91916934863941,0.11329776451394365,-0.07165687405092783
22,0.95,816.0,Grid2401,0.001,396.0,105.31940810744827,0.12212842501498558,-0.1736495148651884
23,0.95,968.0,Grid2401,0.001,497.0,101.5352209967536,0.11670949818516099,-0.09231858568725497
24,0.95,48.0,Grid2401,0.001,996.0,107.74157209654112,0.1251214922884026,-0.23345056315203178
25,0.95,986.0,Grid2401,0.001,482.0,99.7368899164973,0.11069158484806886,-0.04547519508835356
26,0.95,829.0,Grid2401,0.001,718.0,102.68469681610932,0.11977496874090787,-0.11366333501783422
27,0.95,996.0,Grid2401,0.001,999.0,104.51718057168496,0.12633276227358226,-0.16011857017776104
28,0.95,272.0,Grid2401,0.001,341.0,98.50366499617293,0.11263781232205597,-0.03544917810536522
29,0.95,759.0,Grid2401,0.001,533.0,97.01667151579986,0.1079496499654409,0.006228414667136781
30,0.95,390.0,Grid2401,0.001,498.0,100.2814524367049,0.1128471900985853,-0.057010319814100395
31,0.95,930.0,Grid2401,0.001,708.0,96.75202601664775,0.10954939151132428,0.013552605239659062
32,0.95,633.0,Grid2401,0.001,1000.0,103.63288456684835,0.12428443888957436,-0.1362936471006265
33,0.95,928.0,Grid2401,0.001,425.0,101.60725170857198,0.11362932798628872,-0.08629831977947008
34,0.95,854.0,Grid2401,0.001,624.0,111.62956856392525,0.13209516716164513,-0.3188237338676576
35,0.95,554.0,Grid2401,0.001,495.0,101.81937057907517,0.11565268774693077,-0.09843104411782624
36,0.95,562.0,Grid2401,0.001,998.0,107.96006857382285,0.13173863805226377,-0.237354531313565
37,0.95,78.0,Grid2401,0.001,531.0,108.02670195296004,0.12504646846571485,-0.232901324119515
38,0.95,222.0,Grid2401,0.001,478.0,106.4188398412756,0.1241647291022378,-0.1983445433349677
39,0.95,294.0,Grid2401,0.001,647.0,97.0566076845736,0.10758185245700784,0.004465670089088872
40,0.95,725.0,Grid2401,0.001,556.0,103.38746251286688,0.11908979472276326,-0.1261680413823833
41,0.95,582.0,Grid2401,0.001,557.0,106.84127096227698,0.12734408898128047,-0.21235324907152892
42,0.95,731.0,Grid2401,0.001,419.0,104.29358477205844,0.1249837549151601,-0.1534686160460985
43,0.95,249.0,Grid2401,0.001,546.0,99.73055638493719,0.11225141156968232,-0.05046427178978366
44,0.95,791.0,Grid2401,0.001,400.0,99.46835584898253,0.11218235571239446,-0.04004394152415978
45,0.95,35.0,Grid2401,0.001,466.0,106.1611081200677,0.12137661189646334,-0.1902757564103753
46,0.95,180.0,Grid2401,0.001,400.0,98.70128183107119,0.11445848613574698,-0.032934334879774166
47,0.95,510.0,Grid2401,0.001,494.0,100.98341524278796,0.11267932111749777,-0.08161949751807661
48,0.95,593.0,Grid2401,0.001,416.0,104.31815678364522,0.12156115411906629,-0.14669009794233673
49,0.95,634.0,Grid2401,0.001,639.0,99.11277126621556,0.11462941423461244,-0.043504228963222376
