,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.2206555766080876,0.2268967013750174,0.6584256271569691,0.1178471455486035,700.0697401307257
1,1,0.2212829719861961,0.2302185597690036,0.6612046565232382,0.1114667699942952,695.3749141425785
2,2,0.2732425854032088,0.2466710153225595,0.6592639396361929,0.1336822759977299,697.2136426431006
3,3,0.2487927960656738,0.257373862102826,0.6623306511634663,0.129394961303613,639.4570687388093
4,4,0.222702595741322,0.2306124601834889,0.6570704501136337,0.1152379789836947,695.9042738682715
5,5,0.2214974676572277,0.2303620601935057,0.6587195182458377,0.1115382187659505,695.1273952361792
6,6,0.2247110192825902,0.2542825333377375,0.6539604841632409,0.1271302448868287,633.9977448937891
7,7,0.2072715891229022,0.2299146003135677,0.6603114245313333,0.1348761552286835,692.3511819549792
8,8,0.2373260635134269,0.2365368091251778,0.6641030025793928,0.1311819879615672,693.5473262274033
9,9,0.2224629701948845,0.228999154609359,0.661204027295391,0.1156775011755815,698.5555081791033
