,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.2,0.182,0.657,0.08,690.3327520886751
1,2.0,0.2184122500661786,0.2354503319979803,0.6595139489615419,0.106532642488545,683.0241666877045
2,3.0,0.238003730724103,0.2328544329909429,0.6623891806990632,0.1305686724525591,702.0402431734775
3,4.0,0.2072277956293436,0.2308959887196037,0.6602530699026267,0.1351518859261564,690.6026084738245
4,5.0,0.2072746865898193,0.2299590651076365,0.6603096589089568,0.1348864666654897,692.2753251682954
5,6.0,0.2072736815838491,0.2299442451669459,0.6603102820029096,0.1348830313025531,692.3006332304224
6,7.0,0.207271589690293,0.2299146076120143,0.6603114242453302,0.1348761569170608,692.3511695352364
7,8.0,0.2072715891279602,0.2299146003791007,0.6603114245288779,0.1348761552438919,692.3511818434517
8,9.0,0.2072715891235997,0.2299146003225978,0.6603114245309963,0.1348761552307749,692.3511819396113
9,10.0,0.2072715891230541,0.2299146003155341,0.6603114245312599,0.1348761552291389,692.3511819516327
10,11.0,0.2072715891229176,0.2299146003137682,0.6603114245313259,0.1348761552287299,692.3511819546374
11,12.0,0.2072715891229091,0.2299146003136578,0.66031142453133,0.1348761552287043,692.3511819548258
12,13.0,0.2072715891229049,0.2299146003136026,0.6603114245313321,0.1348761552286916,692.3511819549205
13,14.0,0.2072715891229027,0.229914600313575,0.6603114245313331,0.1348761552286852,692.3511819549658
14,15.0,0.2072715891229022,0.2299146003135681,0.6603114245313333,0.1348761552286836,692.3511819549785
15,16.0,0.2072715891229022,0.2299146003135677,0.6603114245313333,0.1348761552286835,692.3511819549792
