,Avg. RMSE
0,0.24623292613887462
1,0.24622255785144728
2,0.2462441708519265
3,0.2462243468602605
4,0.24618671072904053
5,0.2462286614588974
6,0.24624682398037068
7,0.24621300036412344
8,0.24626722106876353
9,0.24621645137124415
