,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.3,0.25,0.5,0.125,698.8425403564818
1,2.0,0.2999998666705519,0.2499980976909962,0.4999999653859338,0.1250000149795239,698.8482640254616
2,3.0,0.2999998666664675,0.2499980976329432,0.4999999653848901,0.1250000149799764,698.8482642001127
3,4.0,0.2999998666663401,0.249998097631129,0.4999999653848577,0.1250000149799904,698.8482642055721
4,5.0,0.2999998666663083,0.2499980976306755,0.4999999653848496,0.1250000149799939,698.8482642069359
5,6.0,0.2999998666662924,0.2499980976304487,0.4999999653848455,0.1250000149799956,698.8482642076175
6,7.0,0.2999998666662845,0.2499980976303353,0.4999999653848435,0.1250000149799965,698.8482642079591
7,8.0,0.2999998666662825,0.249998097630307,0.499999965384843,0.1250000149799967,698.8482642080451
8,9.0,0.2999998666662815,0.2499980976302928,0.4999999653848427,0.1250000149799968,698.8482642080878
9,10.0,0.299999866666281,0.2499980976302857,0.4999999653848426,0.1250000149799969,698.8482642081085
10,11.0,0.2999998666662807,0.2499980976302822,0.4999999653848425,0.1250000149799969,698.8482642081192
11,12.0,0.2999998666662806,0.2499980976302804,0.4999999653848425,0.1250000149799969,698.8482642081253
12,13.0,0.2999998666662806,0.2499980976302795,0.4999999653848425,0.1250000149799969,698.8482642081278
