,#,SigC,SigH,EpsC,EpsH,prediction
0,0,0.2999995696624447,0.2499981465395259,0.4999999011225917,0.1250001151049803,702.9464704595989
1,1,0.2999999986946389,0.2499999858043428,0.4999999997622151,0.1250000003394532,699.6915442444588
2,2,0.2999995769592267,0.2499981448526703,0.4999999089162808,0.1250000956423166,702.2750589371215
3,3,0.2999995449931245,0.2499981469339889,0.4999999244460998,0.1250000806239137,702.4356320476974
4,4,0.2999999997585613,0.2499999986846484,0.4999999999564651,0.1250000000445423,701.2417765895137
5,5,0.2999999999219342,0.2499999988108338,0.499999999978465,0.1250000000066606,698.6607676771514
6,6,0.299999997578514,0.2499999862498835,0.4999999996372816,0.125000000309076,700.016918298409
7,7,0.2999999998903113,0.2499999987503334,0.4999999999797125,0.1250000000184489,699.1378200805976
8,8,0.2999998666662806,0.2499980976302795,0.4999999653848425,0.1250000149799969,698.8482642081278
9,9,0.2999999999105395,0.2499999986618949,0.4999999999788071,0.1250000000222567,699.3457867945069
