,iteration,SigC,SigH,EpsC,EpsH,prediction
0,1.0,0.31,0.23,0.6,0.1,779.6972064707616
1,2.0,0.3519442224807169,0.276324535389099,0.5990873776847595,0.1003697864004386,670.622321578963
2,3.0,0.3279992797812751,0.2188173081337617,0.6015895437421291,0.0959485085823428,820.0928419099133
3,4.0,0.3559520085476813,0.2327516416801777,0.6016811231460184,0.0949319377084051,813.7976102272346
4,5.0,0.3250070151919155,0.2285581545875811,0.6010609304034403,0.0959318942964097,801.9223597454834
5,6.0,0.350693110231685,0.2463516335793307,0.6009732974877009,0.0955178321631824,778.9183340029286
6,7.0,0.3202893694751014,0.2391896641547969,0.600574670193396,0.096367737010051,772.7712281816645
7,8.0,0.3415754908369472,0.2620597760393391,0.6002590366228965,0.0969350951037308,721.0156285783975
8,9.0,0.2808988747819852,0.2485170029444269,0.5955195847847182,0.1012628147448399,692.5146245107251
9,10.0,0.2813155314370972,0.2466237506904373,0.5956762903938704,0.101442073641967,698.8479571773482
10,11.0,0.2813154329756694,0.2466235346744498,0.5956762851679719,0.1014420950557303,698.8484903154305
11,12.0,0.2813154329516372,0.2466235346217063,0.5956762851666937,0.1014420950609326,698.8484904456125
12,13.0,0.2813154329396172,0.2466235345953361,0.5956762851660551,0.1014420950635328,698.8484905106957
13,14.0,0.281315432933607,0.2466235345821511,0.5956762851657358,0.1014420950648329,698.8484905432356
14,15.0,0.2813154329306033,0.2466235345755581,0.5956762851655762,0.1014420950654833,698.8484905595096
15,16.0,0.2813154329298523,0.2466235345739098,0.5956762851655364,0.1014420950656459,698.8484905635789
16,17.0,0.2813154329294768,0.2466235345730857,0.5956762851655164,0.1014420950657272,698.8484905656117
17,18.0,0.281315432929383,0.2466235345728796,0.5956762851655114,0.1014420950657475,698.8484905661209
18,19.0,0.2813154329293361,0.2466235345727766,0.595676285165509,0.1014420950657577,698.8484905663745
19,20.0,0.2813154329293126,0.2466235345727251,0.5956762851655077,0.1014420950657628,698.8484905665025
20,21.0,0.2813154329293009,0.2466235345726993,0.5956762851655071,0.1014420950657653,698.8484905665666
21,22.0,0.281315432929295,0.2466235345726865,0.5956762851655067,0.1014420950657666,698.8484905665972
22,23.0,0.2813154329292935,0.2466235345726832,0.5956762851655066,0.1014420950657669,698.8484905666058
23,24.0,0.2813154329292928,0.2466235345726816,0.5956762851655066,0.1014420950657671,698.8484905666087
