,ratio,rndint,dataset,learning_rate,epoch,rmse,mape,r2
0,0.05,678.0,Sobol1,0.001,963.0,123.78164672851562,0.16240175068378448,-0.831400431638793
1,0.05,147.0,Sobol1,0.001,930.0,112.68664805094402,0.14621247351169586,-0.5236249246097167
2,0.05,561.0,Sobol1,0.001,991.0,123.31737009684245,0.1619280775388082,-0.7841846524802719
3,0.05,237.0,Sobol1,0.001,987.0,110.1634012858073,0.14286619424819946,-0.4588105817988429
4,0.05,588.0,Sobol1,0.001,995.0,109.86954243977864,0.14258471131324768,-0.4460179816707157
5,0.05,951.0,Sobol1,0.001,999.0,111.27359517415364,0.1439792960882187,-0.43929604936089367
6,0.05,490.0,Sobol1,0.001,993.0,131.81695556640625,0.17155016462008157,-1.0736893546379216
7,0.05,395.0,Sobol1,0.001,981.0,122.23774719238281,0.1599289526542028,-0.7464381446742848
8,0.05,877.0,Sobol1,0.001,1000.0,150.48761494954428,0.19922820727030435,-1.5966471896125285
9,0.05,297.0,Sobol1,0.001,996.0,125.31096903483073,0.16322902838389078,-0.843835275606759
10,0.05,721.0,Sobol1,0.001,996.0,116.41955057779948,0.1523688087860743,-0.5900754058129019
11,0.05,711.0,Sobol1,0.001,981.0,110.98705800374348,0.14361836512883505,-0.4620033343201879
12,0.05,985.0,Sobol1,0.001,999.0,109.63988494873047,0.1416331430276235,-0.4716143696003588
13,0.05,171.0,Sobol1,0.001,997.0,115.94674428304036,0.15107648571332297,-0.5647441459192443
14,0.05,75.0,Sobol1,0.001,967.0,109.9820327758789,0.14134625097115835,-0.44564539918760726
15,0.05,16.0,Sobol1,0.001,988.0,123.4061050415039,0.16168425480524698,-0.8421627731907879
16,0.05,669.0,Sobol1,0.001,1000.0,125.26556650797527,0.16340848306814829,-0.9094725607333952
17,0.05,530.0,Sobol1,0.001,988.0,113.16540018717448,0.14665729304154715,-0.5722569408608115
18,0.05,999.0,Sobol1,0.001,982.0,121.20569356282552,0.15876328448454538,-0.7144949956252322
19,0.05,794.0,Sobol1,0.001,995.0,109.26454162597656,0.14176772038141885,-0.42940468429389117
20,0.05,936.0,Sobol1,0.001,983.0,117.76371510823567,0.15308319528897604,-0.688047903777893
21,0.05,111.0,Sobol1,0.001,954.0,113.0853271484375,0.14679605762163797,-0.5243382331504248
22,0.05,816.0,Sobol1,0.001,992.0,110.92339833577473,0.14352403581142426,-0.48848756938039123
23,0.05,968.0,Sobol1,0.001,1000.0,117.30975087483723,0.15309613943099976,-0.6495622963759761
24,0.05,48.0,Sobol1,0.001,982.0,114.41263834635417,0.1492418795824051,-0.5662862217866831
25,0.05,986.0,Sobol1,0.001,938.0,113.20606740315755,0.1471887727578481,-0.5690456327464825
26,0.05,829.0,Sobol1,0.001,1000.0,196.3668009440104,0.26681165893872577,-3.4863541074829634
27,0.05,996.0,Sobol1,0.001,1000.0,153.3760986328125,0.2004034916559855,-1.7666259938396778
28,0.05,272.0,Sobol1,0.001,964.0,112.1823221842448,0.1452439526716868,-0.5288169033860307
29,0.05,759.0,Sobol1,0.001,999.0,119.12733968098958,0.15590342382589975,-0.7047029510182083
30,0.05,390.0,Sobol1,0.001,974.0,118.4700444539388,0.15513581534226736,-0.6812528959964452
31,0.05,930.0,Sobol1,0.001,991.0,110.10731506347656,0.14319204290707907,-0.46402435682746107
32,0.05,633.0,Sobol1,0.001,997.0,122.8518295288086,0.1601983606815338,-0.7718030136623248
33,0.05,928.0,Sobol1,0.001,991.0,115.52628326416016,0.15086891253789267,-0.5788685570327989
34,0.05,854.0,Sobol1,0.001,992.0,110.69132232666016,0.14241387446721396,-0.45864615143226134
35,0.05,554.0,Sobol1,0.001,985.0,119.15906270345052,0.1553112914164861,-0.6987682255434843
36,0.05,562.0,Sobol1,0.001,997.0,117.85880788167317,0.1544941465059916,-0.6607458151228676
37,0.05,78.0,Sobol1,0.001,983.0,118.30137634277344,0.15468050042788187,-0.6415734757227073
38,0.05,222.0,Sobol1,0.001,1000.0,137.21644592285156,0.1784542997678121,-1.1933607873767527
39,0.05,294.0,Sobol1,0.001,962.0,112.97337849934895,0.146702840924263,-0.5297578783807433
40,0.05,725.0,Sobol1,0.001,999.0,126.0305404663086,0.16523176431655884,-0.8880630082358326
41,0.05,582.0,Sobol1,0.001,999.0,117.52766672770183,0.15331013003985086,-0.6346671051829121
42,0.05,731.0,Sobol1,0.001,996.0,120.40664927164714,0.15760515133539835,-0.6904891187193675
43,0.05,249.0,Sobol1,0.001,995.0,111.49998474121094,0.1441799451907476,-0.5126254322955694
44,0.05,791.0,Sobol1,0.001,988.0,114.81907908121745,0.1500952939192454,-0.5635752586227266
45,0.05,35.0,Sobol1,0.001,984.0,118.98047637939453,0.1551413138707479,-0.6575008969960998
46,0.05,180.0,Sobol1,0.001,983.0,111.63804372151692,0.14516669511795044,-0.4825568861093154
47,0.05,510.0,Sobol1,0.001,1000.0,115.5678202311198,0.15053559839725494,-0.5792095776684499
48,0.05,593.0,Sobol1,0.001,998.0,112.26112620035808,0.14581730465094248,-0.4884039728753895
49,0.05,634.0,Sobol1,0.001,977.0,123.7096939086914,0.16225042442480722,-0.7991129577850202
